courseId,2025-03-03 10:00:00,2025-03-03 14:00:00,2025-03-04 10:00:00,2025-03-04 14:00:00,2025-03-05 10:00:00,2025-03-05 14:00:00,2025-03-06 10:00:00,2025-03-06 14:00:00,2025-03-07 10:00:00,2025-03-07 14:00:00,2025-03-10 10:00:00,2025-03-10 14:00:00,2025-03-11 10:00:00,2025-03-11 14:00:00,2025-03-12 10:00:00,2025-03-12 14:00:00,2025-03-13 10:00:00,2025-03-13 14:00:00,2025-03-14 10:00:00,2025-03-14 14:00:00,2025-03-17 10:00:00,2025-03-17 14:00:00,2025-03-18 10:00:00,2025-03-18 14:00:00,2025-03-19 10:00:00,2025-03-19 14:00:00,2025-03-20 10:00:00,2025-03-20 14:00:00,2025-03-21 10:00:00,2025-03-21 14:00:00,2025-03-24 10:00:00,2025-03-24 14:00:00,2025-03-25 10:00:00,2025-03-25 14:00:00,2025-03-26 10:00:00,2025-03-26 14:00:00
BI337,1,3,2,4,2,3,2,3,5,2,1,1,3,3,3,3,1,4,4,5,5,3,3,4,2,3,2,3,3,2,1,4,1,5,2,3
BI370,3,1,3,3,4,4,1,2,3,2,3,5,3,4,3,4,2,4,4,2,3,5,4,2,3,3,3,3,2,3,4,4,2,4,2,3
BI375,5,3,2,2,3,4,5,4,4,4,4,1,5,3,5,1,4,4,5,4,3,3,3,2,2,2,3,5,5,1,1,2,2,1,3,3
BI387,3,3,3,4,4,3,1,2,2,3,2,3,2,4,1,3,2,1,4,3,1,3,3,3,3,4,2,3,3,4,5,4,4,5,3,4
BI425,5,1,3,4,5,4,4,5,3,1,1,3,3,3,3,5,3,4,5,3,3,4,4,3,2,2,2,2,2,3,5,3,5,4,4,3
BI446,3,4,5,3,1,4,2,1,4,3,3,5,3,3,2,3,4,3,2,1,3,3,3,3,2,3,5,2,3,3,4,2,5,3,4,2
BI457,4,4,3,3,3,1,4,1,2,3,1,5,4,3,4,4,2,4,2,3,3,4,1,2,3,3,4,3,2,2,3,3,2,3,3,2
BI496,3,4,3,4,2,3,3,3,3,4,3,1,3,4,5,3,3,3,4,5,4,3,1,4,4,4,2,3,2,4,2,3,2,1,3,2
BI518,3,5,5,2,4,3,5,4,1,3,3,4,3,3,3,5,5,3,4,4,4,1,3,3,3,2,3,3,3,3,1,4,5,3,4,2
BI544,4,2,3,3,3,3,3,3,4,3,2,3,4,3,3,3,3,2,3,2,2,1,3,3,5,3,4,1,2,4,3,2,3,3,4,1
BI547,3,4,5,4,2,4,4,4,4,5,1,2,4,2,1,3,4,2,3,1,2,3,1,4,4,4,2,3,2,2,3,4,1,2,5,3
BI558,5,5,3,2,4,2,2,4,3,2,3,4,2,2,2,3,4,4,3,1,2,2,2,2,3,1,4,4,3,1,4,5,2,4,4,3
BI563,3,3,3,3,5,4,2,3,3,2,3,5,3,2,2,3,3,3,3,1,2,3,1,4,2,3,3,3,4,3,4,3,3,4,3,3
BI564,4,5,3,3,1,3,3,4,3,4,1,3,5,2,1,3,4,3,3,3,2,4,2,3,3,4,4,4,3,2,2,4,4,5,1,3
BI570,3,4,3,4,3,2,2,1,3,1,3,3,4,4,2,2,2,5,3,2,4,3,4,2,3,3,4,4,3,2,3,5,3,4,3,3
BI572,3,4,4,3,3,3,2,5,3,4,4,4,5,3,4,2,3,4,2,4,4,4,3,3,3,4,3,3,3,2,2,1,3,4,1,1
BI601,3,4,2,2,2,3,2,3,4,3,1,3,3,5,2,4,4,2,5,3,3,2,2,3,3,3,3,3,3,1,3,3,3,1,2,2
BI624,5,3,1,2,1,3,2,3,3,4,3,3,4,3,4,3,3,3,5,3,5,2,3,5,3,5,1,5,3,1,4,2,1,2,3,5
BI628,2,3,2,4,2,2,2,3,4,3,1,3,4,2,1,2,4,3,3,2,3,5,2,5,3,2,3,5,3,4,2,3,4,5,3,3
BI637,1,2,2,1,2,3,5,3,3,5,2,3,3,1,4,1,2,2,5,3,3,3,2,3,3,2,3,2,2,4,3,3,3,3,3,4
BI641,3,5,5,3,4,3,3,1,3,5,4,4,2,3,2,3,3,3,3,3,2,1,4,1,1,4,5,4,1,2,5,4,3,2,1,1
BI661,3,1,5,2,4,2,3,1,4,3,1,4,3,5,5,5,1,2,5,3,2,4,2,4,4,4,2,3,3,3,2,3,3,3,4,3
BI666,2,3,4,3,3,2,3,5,5,3,4,4,5,3,3,3,1,3,4,4,4,1,3,2,2,5,3,4,1,3,3,2,3,1,3,5
BI672,4,5,4,4,3,3,3,4,2,1,5,1,5,4,3,3,4,2,4,4,2,1,2,2,1,4,3,4,2,3,3,4,3,3,4,3
BI676,1,3,4,1,3,3,5,2,2,3,3,4,3,4,4,5,3,5,2,4,3,4,3,4,5,4,4,1,2,5,3,3,3,1,3,3
BI687,2,2,3,3,2,3,5,3,4,5,1,1,3,3,3,3,3,1,5,2,5,2,2,2,5,1,3,4,3,3,5,4,3,3,5,5
BI695,3,4,3,3,2,2,3,3,2,3,3,5,4,3,5,3,3,5,3,3,2,2,3,5,3,5,5,2,3,3,3,1,5,4,3,3
BI704,1,3,5,4,3,3,3,3,1,3,3,1,1,2,3,3,2,2,4,2,3,5,3,4,3,1,3,3,2,3,5,2,3,3,4,4
BI723,4,3,1,3,3,4,5,3,3,3,2,3,3,5,3,5,3,2,2,2,3,1,3,5,3,4,2,3,2,4,2,3,3,3,4,2
BI735,3,4,3,3,1,4,5,3,4,3,2,1,3,3,4,3,5,3,3,2,3,4,1,5,5,3,3,2,2,1,3,1,4,3,2,3
BI736,5,3,3,4,4,4,2,4,3,5,2,5,5,2,5,1,2,3,5,3,3,3,5,4,2,3,1,3,2,2,4,3,3,3,1,3
BI747,3,4,3,3,4,4,4,5,4,3,4,3,2,3,2,2,2,1,4,5,3,4,2,5,3,1,2,3,1,3,1,2,2,5,2,2
BI760,3,4,3,4,3,2,3,3,3,3,2,4,3,3,3,3,2,4,4,2,5,3,3,2,3,2,3,3,4,2,4,3,3,4,3,3
BI766,3,3,3,3,4,3,2,3,2,3,3,3,4,2,5,3,3,3,4,3,4,4,4,1,4,4,3,4,5,3,1,3,1,2,3,3
BI783,3,4,3,5,1,4,4,3,2,3,4,4,3,3,2,3,5,2,5,4,5,2,2,1,4,3,2,4,2,2,3,1,2,3,4,4
BI807,3,4,3,3,4,3,3,3,3,3,4,2,4,3,2,3,3,4,3,3,3,2,3,3,3,3,5,3,5,2,1,3,2,3,3,3
BI814,4,5,4,2,3,2,2,3,3,2,4,4,1,3,4,3,3,2,2,1,4,1,2,1,4,1,3,3,3,2,2,4,5,3,1,1
BI841,4,3,4,3,5,4,4,3,3,3,3,3,2,3,3,3,2,3,2,4,3,2,1,3,2,5,3,2,3,2,4,3,5,3,4,1
BI846,3,4,3,2,3,2,3,3,3,2,3,2,5,2,5,3,3,2,3,3,3,1,5,5,3,3,3,3,1,3,4,1,3,4,2,2
BI861,4,2,2,3,3,4,3,3,3,5,2,2,5,5,2,2,3,1,3,1,1,3,5,3,3,5,3,3,3,2,3,3,2,2,3,3
BI868,1,2,5,3,1,3,1,4,4,3,4,1,4,2,3,5,3,5,1,3,1,3,1,2,2,4,2,4,2,1,3,5,2,2,4,3
BI873,4,2,3,2,3,4,4,3,5,2,2,3,3,1,3,3,4,4,3,1,3,4,2,3,5,2,2,2,3,5,3,3,3,3,3,2
BI876,3,3,1,3,5,3,5,1,4,2,2,3,3,4,3,3,5,3,2,2,3,4,1,2,2,3,2,2,3,4,3,3,1,5,3,5
BI882,5,4,1,3,1,4,4,5,3,3,3,3,3,3,5,3,4,4,3,3,3,3,1,3,5,1,3,4,3,3,4,3,1,5,3,3
BI890,3,1,5,4,2,5,4,3,3,2,3,1,3,3,4,4,2,4,3,3,2,4,5,4,5,3,4,3,2,3,3,2,1,2,3,2
BI905,2,3,5,4,3,5,3,3,3,3,2,3,3,3,4,3,4,3,5,3,5,4,3,3,1,5,2,3,3,3,3,5,3,5,3,2
BI929,2,4,1,3,2,3,4,3,2,2,3,1,3,3,1,3,3,3,3,3,3,4,2,3,3,3,4,3,3,3,4,5,3,4,1,3
BI946,2,1,3,4,3,3,3,3,2,3,3,3,2,1,3,3,3,2,3,4,4,4,1,3,2,3,2,4,3,3,3,2,3,3,3,4
BI952,2,4,3,3,3,5,2,3,3,2,1,4,2,2,5,4,2,3,3,4,4,4,2,3,1,1,4,1,3,4,3,1,4,5,4,3
BI959,2,1,3,2,4,3,3,4,4,3,5,5,5,4,4,3,2,2,1,2,3,2,5,4,1,2,4,4,5,5,5,3,2,4,2,4
BI961,3,4,2,3,3,5,2,5,4,4,4,3,2,2,4,4,2,3,3,2,3,2,1,3,3,1,3,2,1,2,2,2,4,3,2,2
BI964,2,4,3,2,3,3,1,3,3,1,3,4,3,3,3,3,4,3,1,3,3,3,4,4,2,5,3,4,4,3,3,5,2,2,3,4
BI967,5,2,4,2,5,3,1,1,2,2,4,2,5,3,3,2,4,3,4,5,2,1,4,4,3,3,3,3,2,3,2,3,5,4,5,4
BI989,3,4,5,5,3,2,1,2,5,3,4,3,3,1,2,3,3,2,4,3,4,1,3,2,4,3,3,5,1,1,4,3,2,3,1,2
BI990,3,4,3,3,4,3,4,4,2,3,5,5,2,1,2,3,3,3,4,3,4,1,1,3,1,3,4,2,4,3,1,3,4,3,3,5
CA047,4,2,4,3,4,3,2,3,3,3,4,4,3,3,3,3,5,3,2,3,3,3,3,2,1,3,3,1,4,3,5,2,1,3,2,5
CA052,1,3,5,3,1,3,3,2,3,4,4,1,2,2,3,3,4,4,2,3,2,2,2,2,3,3,2,5,3,1,2,3,5,3,5,3
CA063,3,3,3,3,4,1,3,3,3,2,3,3,3,4,4,3,5,4,2,2,3,3,4,4,4,2,3,2,2,3,2,3,3,4,2,4
CA089,5,4,4,3,3,4,4,3,4,3,2,3,2,3,1,3,4,3,1,3,2,3,3,5,1,3,4,5,2,3,1,3,2,4,2,3
CA098,3,5,3,2,2,2,4,3,3,1,4,3,5,3,3,3,2,4,4,2,2,1,5,2,3,2,3,4,4,2,3,3,5,2,1,3
CA127,2,1,3,4,3,3,3,3,3,3,2,2,3,3,4,3,2,2,2,4,3,4,3,4,5,3,4,3,5,4,5,3,4,3,2,3
CA205,4,1,3,3,3,4,4,3,2,3,3,3,2,3,3,3,3,3,1,5,3,1,3,4,4,4,2,3,4,3,4,2,2,4,3,1
CA206,3,4,1,1,2,5,5,3,3,3,2,4,2,3,3,2,3,3,4,2,2,3,5,2,5,4,4,1,3,1,3,5,2,3,1,4
CA207,2,2,3,4,2,2,1,5,3,4,3,2,3,2,3,3,3,2,1,4,4,1,2,4,4,5,2,3,2,3,2,2,1,3,3,3
CA212,4,4,3,5,3,2,5,1,3,3,3,3,2,3,4,2,3,2,4,4,4,2,1,2,2,3,5,3,5,1,5,2,5,1,5,2
CA225,3,3,3,3,5,3,4,1,3,3,4,3,3,2,2,3,3,2,1,4,1,4,2,1,3,3,3,3,2,3,3,3,4,4,3,4
CA229,5,3,2,5,2,1,3,4,5,3,5,1,1,3,5,3,1,2,2,3,1,5,3,3,1,1,3,4,3,4,4,1,2,3,3,2
CA232,3,3,5,2,2,3,3,3,5,4,3,2,3,3,4,5,3,3,1,1,2,1,3,3,3,3,3,3,2,5,1,5,3,3,2,1
CA237,3,4,2,3,2,3,5,4,3,2,2,5,2,4,3,5,3,3,3,5,5,4,4,3,4,4,3,3,3,3,4,3,2,3,2,3
CA262,5,3,4,2,5,3,1,3,5,1,3,5,1,3,3,3,3,1,4,1,3,3,3,3,4,5,4,3,4,5,3,2,1,3,5,3
CA319,3,2,2,3,5,3,4,2,3,3,4,1,2,2,5,2,1,3,3,4,5,3,5,4,2,5,3,3,3,3,2,4,4,4,2,5
CA330,1,3,2,1,3,3,4,5,4,3,4,4,3,4,3,3,3,3,4,3,3,5,5,2,2,3,3,1,3,4,4,3,3,3,2,3
CA349,1,3,3,3,3,3,1,2,3,1,2,3,4,3,3,5,5,3,4,3,5,3,4,4,3,4,2,2,3,5,3,3,3,2,3,4
CA355,5,2,3,1,2,3,3,2,2,4,5,3,3,2,5,3,4,1,3,3,2,2,3,4,1,3,2,2,3,3,3,3,3,3,5,3
CA356,4,2,3,3,3,3,2,1,2,4,4,2,3,1,2,4,3,2,2,4,2,3,3,3,3,4,2,4,2,3,4,3,4,4,2,4
CA362,5,3,2,2,2,2,3,1,2,3,3,3,4,1,1,1,3,1,4,2,5,3,3,4,4,3,5,3,4,3,4,2,2,3,2,2
CA366,3,3,4,3,4,3,1,2,3,3,2,3,3,3,4,4,4,5,2,3,4,3,4,3,3,1,5,4,4,3,2,1,4,3,2,3
CA378,3,3,3,3,4,2,3,3,5,3,3,3,3,5,4,3,3,1,3,4,3,2,5,3,3,1,3,4,3,3,2,3,5,3,5,5
CA397,5,4,1,5,2,1,1,3,3,3,1,3,3,4,2,2,2,3,3,3,3,3,3,5,2,4,4,1,5,4,3,3,3,2,1,4
CA398,4,2,4,4,2,3,3,4,4,1,3,4,4,2,3,4,3,3,4,1,4,3,1,2,1,1,3,2,5,3,3,3,3,3,2,4
CA446,3,1,3,3,2,4,3,3,3,5,2,3,3,4,1,1,4,3,3,3,4,2,2,5,3,3,4,3,2,2,3,4,1,2,4,2
CA455,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,5,4,3,2,2,4,4,2,4,3,3,4,3,4,1,3,3,3
CA469,3,2,3,3,4,3,3,2,3,1,2,2,1,3,5,2,4,2,3,3,5,2,3,1,3,5,4,4,3,4,3,2,4,2,1,2
CA485,3,3,2,4,4,5,3,4,4,2,3,3,1,2,3,2,2,3,4,4,3,3,3,2,2,4,3,4,4,2,3,3,3,3,5,4
CA497,5,1,2,1,2,3,3,3,5,5,2,4,3,3,4,1,4,3,4,5,3,1,2,3,2,4,2,5,4,2,3,3,3,3,1,3
CA499,3,4,4,2,1,4,5,3,2,2,2,3,3,3,2,1,3,4,3,5,3,2,2,3,3,3,4,4,1,4,3,3,3,3,2,3
CA512,3,3,1,2,2,3,4,2,3,3,4,1,2,2,5,3,2,2,2,2,4,3,3,3,3,2,3,3,2,3,4,2,4,1,3,3
CA531,3,1,4,5,2,4,3,5,2,4,1,4,3,3,2,4,3,3,3,4,3,1,5,3,3,2,4,2,3,4,1,4,3,3,3,3
CA569,2,1,5,1,4,2,3,4,2,4,3,3,3,3,3,4,3,2,4,4,3,3,3,3,3,5,2,3,4,3,4,3,2,4,3,4
CA596,2,4,3,2,3,3,1,3,3,2,4,3,2,3,3,5,2,3,1,4,3,4,3,4,3,5,1,3,4,3,1,5,2,2,3,3
CA614,4,3,3,3,3,5,4,3,1,5,2,2,2,2,4,3,5,2,3,5,4,4,2,4,3,3,3,3,4,3,1,3,3,2,3,2
CA620,3,5,2,3,4,1,5,3,4,1,2,3,3,4,1,3,2,4,4,3,2,3,2,2,3,5,4,3,3,5,3,3,5,2,1,3
CA629,1,3,3,3,5,2,3,2,3,4,3,2,3,3,2,3,3,5,4,4,4,4,5,1,3,4,3,2,3,3,2,3,3,4,4,4
CA635,4,3,3,1,5,1,4,3,5,3,4,2,2,3,5,3,5,4,4,3,3,2,5,5,4,2,2,5,1,4,3,3,4,1,3,5
CA639,3,4,4,1,2,3,3,3,4,1,3,1,1,3,4,2,3,3,2,3,5,3,2,3,3,1,1,2,2,2,3,3,4,3,4,3
CA671,1,3,4,2,1,3,3,3,2,2,3,3,3,3,3,2,3,1,3,3,2,2,2,1,3,5,3,3,3,3,5,4,4,5,2,3
CA705,4,3,5,2,3,5,3,4,1,3,5,3,1,1,4,4,2,1,4,4,2,3,4,3,5,3,3,3,5,3,2,3,4,3,3,3
CA714,2,1,2,3,4,4,5,3,4,1,1,2,3,2,2,3,3,3,3,2,1,2,1,3,4,3,3,4,2,2,3,3,3,4,1,3
CA722,2,4,4,2,1,2,2,3,3,5,3,2,2,2,2,4,1,5,3,3,3,3,3,3,2,5,2,3,3,1,2,2,3,3,4,4
CA746,2,3,4,3,3,4,1,4,2,3,2,4,3,3,4,4,4,2,4,3,3,5,2,2,3,4,3,3,3,3,4,2,3,4,3,3
CA754,1,4,3,3,3,3,4,4,3,3,4,2,1,4,3,3,1,4,3,4,5,5,4,1,4,1,4,2,3,1,4,2,3,4,3,1
CA756,3,1,3,5,3,2,3,5,2,3,3,4,4,3,3,3,2,2,3,2,4,1,1,3,2,3,3,4,5,4,2,5,3,3,3,2
CA757,4,3,3,2,4,4,2,3,4,3,3,3,1,3,3,3,4,1,2,2,1,2,5,2,3,2,3,5,2,4,5,3,3,3,4,2
CA772,3,3,2,4,3,3,3,2,2,3,3,2,1,3,4,4,2,3,4,3,5,5,2,2,2,2,5,5,1,3,3,3,3,5,2,2
CA779,1,3,3,3,3,4,3,3,4,4,2,3,4,1,3,3,2,2,3,4,4,5,1,2,4,3,3,2,2,3,2,5,2,5,4,3
CA785,4,3,2,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,1,5,1,3,2,1,4,3,4,2,2,2,3,4,3,3,5,2
CA787,3,3,1,2,1,4,3,4,3,3,4,5,1,3,4,5,5,3,2,2,5,3,2,5,2,4,3,1,3,2,3,3,1,5,3,2
CA789,2,2,5,2,3,4,3,3,4,4,2,3,5,3,4,5,3,2,2,3,2,5,3,3,4,3,3,1,3,4,3,3,2,4,5,3
CA821,4,3,3,4,1,3,2,3,3,1,3,2,3,2,4,3,5,5,2,1,3,3,1,2,3,5,5,2,3,1,3,4,4,3,1,3
CA840,5,2,3,4,4,5,3,3,3,5,4,4,2,4,3,1,1,3,3,4,4,1,3,2,3,3,4,3,4,4,3,3,4,1,4,4
CA847,2,5,2,5,3,4,3,4,2,2,1,4,2,3,4,5,2,4,2,4,4,1,2,3,3,5,3,5,3,5,4,4,2,3,2,2
CA850,3,4,1,3,3,1,3,4,1,4,3,4,2,4,1,3,2,4,4,1,1,2,2,3,3,5,5,3,1,3,3,3,3,5,4,2
CA873,2,4,4,2,4,3,3,2,4,3,2,4,4,4,2,5,2,3,3,3,3,4,3,3,2,1,2,5,4,5,1,3,1,4,3,1
CA877,3,2,3,3,4,5,3,3,4,3,1,4,1,2,2,1,1,1,3,2,2,3,2,1,3,3,3,3,3,3,5,3,3,2,4,2
CA880,3,3,3,5,5,2,2,4,3,3,4,3,5,3,3,3,4,3,3,5,3,3,3,3,1,3,4,3,4,3,5,2,1,3,3,3
CA881,2,3,3,3,4,4,3,3,3,4,4,3,1,2,3,3,3,3,3,5,3,2,3,3,4,3,3,3,3,4,1,3,2,3,3,2
CA882,3,4,3,1,3,2,2,3,2,5,2,4,4,5,3,4,5,2,3,1,3,3,2,4,1,4,1,3,1,2,4,2,3,5,1,4
CA890,1,2,2,5,2,4,5,3,3,4,3,2,3,4,4,2,2,5,1,4,1,4,5,2,1,3,2,3,3,2,3,4,3,3,3,4
CA909,3,2,1,4,4,3,1,3,4,3,2,3,4,1,3,3,3,3,3,2,2,3,1,3,3,2,3,3,2,3,5,3,3,1,1,1
CA920,4,3,2,4,2,2,3,3,3,3,3,4,4,4,4,3,3,3,4,3,2,4,4,4,2,2,2,3,2,3,2,2,4,4,1,3
CA930,1,1,4,4,4,3,4,2,2,2,4,2,2,3,1,1,2,1,3,3,2,2,4,3,3,3,2,5,3,2,3,3,2,5,4,2
CA936,3,4,2,3,3,3,4,4,5,3,4,1,2,1,3,2,4,3,1,4,4,3,1,4,4,3,3,3,4,2,2,4,1,5,3,3
CA937,2,5,4,5,3,2,3,3,3,5,3,4,5,2,4,3,4,2,3,1,5,4,1,5,3,4,1,3,3,2,3,3,2,3,5,2
CA942,2,3,3,4,4,1,3,4,5,3,1,3,1,4,1,2,3,3,3,3,4,3,3,3,3,3,3,4,3,4,3,3,3,2,3,3
CA952,1,3,3,5,4,2,3,1,2,4,2,2,5,4,4,4,4,2,3,3,3,4,3,1,2,2,4,3,3,3,3,4,3,5,5,5
CA960,3,5,3,4,5,5,4,3,2,3,4,2,3,3,3,5,3,4,3,4,2,2,5,3,3,3,3,3,2,3,3,3,3,5,3,4
CA988,3,3,1,2,3,3,4,3,4,5,2,3,3,3,2,4,5,4,3,3,3,3,3,2,5,4,3,5,2,1,4,5,3,1,4,1
CA998,3,2,5,3,4,2,3,5,2,3,3,4,2,3,3,3,1,4,3,1,3,5,2,3,4,1,1,3,4,2,4,3,3,3,5,2
CH053,3,3,2,1,1,3,1,4,5,1,3,1,2,3,3,5,3,3,2,1,4,1,5,2,3,5,2,3,4,1,3,1,2,2,5,2
CH058,1,3,3,3,2,4,3,3,2,3,4,3,1,2,3,5,1,3,1,3,3,5,1,4,3,4,3,1,5,1,3,4,1,3,4,5
CH074,4,2,3,4,3,4,1,2,3,5,3,5,5,5,5,4,4,3,1,2,2,1,2,5,3,3,4,3,2,4,3,3,2,3,4,2
CH098,5,1,3,5,5,2,2,4,1,3,4,3,2,3,5,3,4,3,2,2,3,2,3,4,4,2,4,3,1,1,3,3,2,1,2,5
CH110,4,3,5,3,4,2,3,2,3,1,2,1,3,4,3,4,3,3,2,5,1,3,3,3,2,3,4,4,5,3,3,1,5,3,3,5
CH126,3,3,2,3,5,3,2,1,3,3,1,3,3,4,1,4,3,3,5,2,3,3,3,3,1,3,3,4,1,2,3,2,3,1,3,4
CH138,4,3,4,4,3,5,3,3,3,5,2,1,2,2,3,4,3,2,4,3,3,3,4,3,1,3,4,3,2,2,3,3,3,4,5,2
CH152,3,1,4,3,2,4,4,2,1,3,3,4,3,3,4,3,3,3,4,2,2,2,4,3,3,5,5,5,2,4,3,1,3,3,2,3
CH191,4,3,3,3,5,1,3,2,4,1,3,3,4,2,3,2,5,3,3,3,3,2,3,5,3,4,2,5,3,3,3,4,4,3,3,1
CH214,3,3,3,3,4,4,2,4,1,4,2,4,3,3,3,1,2,3,4,3,2,3,3,3,4,3,1,2,3,3,2,5,3,3,1,4
CH216,4,2,5,3,3,4,4,5,4,5,2,3,3,4,3,1,4,5,3,2,1,2,3,5,1,3,3,2,3,4,4,3,4,3,2,2
CH218,3,1,2,3,3,1,2,3,3,3,4,1,2,2,2,5,3,3,4,1,2,4,4,3,3,4,2,2,2,3,1,3,4,3,1,3
CH219,4,1,1,3,2,5,3,2,4,3,2,2,3,1,2,2,2,3,4,4,3,5,1,2,3,3,3,2,2,3,5,3,1,4,2,2
CH237,3,4,4,3,3,3,2,5,3,1,3,3,5,4,2,4,3,2,3,3,1,3,3,2,3,3,2,4,1,2,2,3,3,3,2,4
CH238,1,2,1,1,3,2,2,4,2,4,3,3,3,3,2,5,3,4,4,1,2,2,4,4,3,2,2,4,5,2,1,3,1,4,3,3
CH247,3,3,2,4,3,3,3,1,1,3,3,3,4,3,3,2,4,3,1,3,3,4,5,3,4,1,3,4,3,3,4,2,1,3,4,4
CH255,3,4,4,1,4,2,2,3,3,3,2,2,1,3,4,4,4,3,4,2,1,3,3,4,3,2,4,3,4,4,2,1,2,1,2,3
CH268,5,4,4,1,3,3,2,4,5,3,4,2,3,1,2,4,4,3,3,3,4,5,4,4,3,3,2,2,4,4,3,3,1,3,3,3
CH269,5,2,3,3,5,4,3,5,3,2,3,2,3,5,4,2,2,1,2,1,3,4,4,1,3,2,2,3,2,3,4,3,4,2,4,2
CH279,2,2,3,3,5,4,3,3,3,4,4,3,3,4,2,2,3,4,3,5,2,3,3,5,2,3,2,3,4,3,4,5,1,4,2,2
CH295,3,4,3,1,5,4,2,3,1,3,3,3,2,4,2,3,2,3,2,3,3,1,1,3,2,3,3,3,5,3,4,4,5,2,4,5
CH311,3,3,5,3,3,4,3,2,3,3,4,3,4,3,3,2,3,4,2,4,2,1,2,4,2,3,3,3,3,3,5,3,2,3,3,3
CH340,5,4,2,3,4,5,3,3,4,3,3,5,4,2,3,3,5,5,4,3,1,3,3,3,3,3,5,1,4,3,4,3,1,2,2,2
CH362,4,2,3,2,3,4,3,3,4,1,4,3,2,3,2,4,1,1,3,3,4,2,4,5,3,4,3,1,3,1,5,2,3,2,3,2
