courseId,2025-03-03 10:00:00,2025-03-03 14:00:00,2025-03-04 10:00:00,2025-03-04 14:00:00,2025-03-05 10:00:00,2025-03-05 14:00:00,2025-03-06 10:00:00,2025-03-06 14:00:00,2025-03-07 10:00:00,2025-03-07 14:00:00,2025-03-10 10:00:00,2025-03-10 14:00:00,2025-03-11 10:00:00,2025-03-11 14:00:00,2025-03-12 10:00:00,2025-03-12 14:00:00,2025-03-13 10:00:00,2025-03-13 14:00:00,2025-03-14 10:00:00,2025-03-14 14:00:00,2025-03-17 10:00:00,2025-03-17 14:00:00,2025-03-18 10:00:00,2025-03-18 14:00:00
CH461,2,3,2,3,5,2,3,3,5,5,2,5,3,4,1,2,1,2,4,2,2,2,2,1
CH508,3,5,3,4,3,1,3,5,3,3,3,4,3,3,1,2,3,3,2,4,2,3,1,3
CH526,2,4,4,2,2,3,3,3,3,2,3,3,5,4,4,3,3,4,3,3,2,4,3,4
CH537,3,2,5,3,2,3,2,1,3,5,2,5,4,4,4,3,2,3,3,2,4,3,4,3
CH585,3,4,2,4,3,4,3,4,1,5,4,3,3,4,4,3,2,2,3,4,4,3,2,2
CH589,1,2,1,3,3,5,4,2,4,1,5,3,2,3,5,4,2,3,4,5,5,5,3,4
CH703,3,4,3,3,3,4,1,5,3,3,4,3,5,3,3,5,5,2,3,3,5,3,4,1
CH720,3,2,2,2,2,5,2,3,1,4,3,2,1,2,3,1,1,3,2,3,2,5,3,2
CH757,1,3,4,3,2,3,3,3,3,3,4,4,4,3,3,3,2,4,3,3,3,3,2,2
CH798,4,3,3,2,2,4,4,4,4,3,4,3,1,3,2,3,2,3,4,3,2,4,4,2
CH806,4,3,3,5,1,3,1,4,4,1,1,5,5,5,5,3,5,4,1,4,4,2,4,3
CH901,4,4,5,1,4,3,4,3,3,1,3,3,3,5,4,3,4,2,3,4,2,2,1,5
CH908,3,3,3,3,4,5,2,2,2,3,3,4,4,3,3,3,4,3,4,4,5,4,3,4
CH950,3,4,5,3,4,2,3,3,1,4,3,4,4,3,4,3,3,4,3,2,4,3,2,4
EN025,3,3,3,4,3,3,1,3,3,2,3,4,3,3,5,4,1,4,2,2,1,3,3,4
EN116,1,2,3,3,1,5,4,3,3,3,3,3,3,3,3,3,2,2,1,3,5,3,2,1
EN136,3,5,5,2,4,2,4,4,1,2,1,3,1,3,3,3,3,5,2,4,3,3,3,2
EN258,3,5,5,3,3,3,4,2,3,3,4,2,3,3,3,2,4,3,3,5,3,4,3,3
EN380,1,5,2,3,4,3,1,5,1,1,2,3,5,5,3,4,4,3,4,3,2,3,1,5
EN404,4,2,2,5,4,3,2,1,3,4,2,1,3,3,5,4,3,4,3,2,2,2,5,5
EN435,1,3,3,3,3,2,4,5,2,2,3,4,2,3,4,2,1,5,4,3,1,4,3,2
EN450,3,5,5,3,5,3,1,2,3,4,2,2,3,2,3,1,3,5,4,1,3,2,1,3
EN469,3,1,3,3,3,3,4,3,3,1,4,3,3,3,4,3,3,1,5,3,2,3,3,3
EN481,5,3,5,4,5,2,1,3,3,1,1,2,3,5,3,3,4,3,3,2,5,3,3,3
EN538,4,2,3,1,1,3,3,4,5,4,3,3,3,1,5,5,5,3,3,4,3,4,2,4
EN606,4,2,3,4,5,4,5,5,5,3,2,3,2,3,3,4,3,3,5,3,3,4,2,2
EN633,3,3,3,5,3,5,2,3,3,2,3,4,4,2,3,3,4,2,3,1,3,2,3,3
EN748,4,2,3,3,4,3,5,2,3,3,3,4,2,3,3,3,3,2,3,2,4,3,3,1
EN784,1,2,4,3,3,4,2,2,4,1,2,3,5,2,2,5,3,1,2,3,1,3,3,4
EN815,3,3,5,2,1,5,1,4,4,3,4,2,4,4,1,3,5,5,5,3,2,3,4,2
EN817,4,4,4,3,4,1,3,4,4,3,5,2,3,4,3,3,2,2,2,3,3,4,2,4
EN819,3,3,3,3,4,2,3,5,5,1,3,3,3,2,3,3,3,4,2,3,4,5,3,3
EN840,4,2,3,1,3,4,1,4,2,2,4,2,3,2,2,3,2,3,5,4,4,3,4,4
EN887,5,2,4,2,1,3,4,2,1,3,2,3,5,4,3,3,5,4,3,3,4,3,3,4
EN937,2,5,5,3,5,4,5,5,2,2,2,1,3,3,3,3,1,2,2,4,5,2,3,4
GO048,3,4,5,2,1,3,3,2,5,4,2,4,4,3,1,4,1,3,2,5,2,2,4,2
GO081,2,2,3,2,3,4,2,4,4,4,3,3,4,1,3,2,2,4,3,3,2,3,2,5
GO108,2,4,5,2,1,4,4,2,4,4,3,5,3,3,1,5,2,2,4,1,3,2,1,3
GO236,3,4,3,3,3,2,1,4,3,2,2,4,5,4,3,4,3,3,4,3,4,2,2,4
GO320,3,3,3,5,4,3,3,3,4,4,2,3,2,3,2,4,3,4,5,5,2,3,3,4
GO334,1,5,3,3,5,4,3,3,4,4,4,1,2,2,2,1,4,3,4,5,3,3,1,2
GO365,3,2,3,3,5,3,1,3,3,3,3,4,3,2,4,3,2,5,1,4,4,3,2,3
GO397,3,5,1,3,4,3,3,4,3,4,2,3,1,4,4,3,3,3,2,3,3,3,4,3
GO399,3,5,2,3,1,3,4,4,3,2,1,4,4,1,2,4,5,3,2,3,4,3,1,3
GO459,4,3,3,5,5,4,2,2,3,2,2,2,3,3,3,2,3,2,2,3,3,4,3,3
GO515,3,2,3,3,4,1,2,1,3,3,1,3,4,2,3,4,3,3,4,4,3,3,1,1
GO541,3,3,4,4,2,3,4,2,3,1,2,3,3,2,1,2,4,1,3,2,3,3,5,4
GO595,5,3,4,4,1,5,2,4,4,2,5,5,3,2,3,3,5,3,3,3,2,3,3,3
GO663,4,2,3,1,2,3,1,2,4,3,1,5,5,2,5,3,5,5,3,2,5,3,3,3
GO684,3,5,4,1,1,1,3,4,3,3,2,3,2,2,3,1,5,5,4,3,4,5,2,3
GO744,4,3,4,3,3,3,2,1,2,2,1,4,3,3,2,2,1,5,2,1,3,3,4,4
GO837,4,4,2,1,1,4,3,5,3,2,1,3,2,3,1,4,3,4,5,3,4,1,5,2
GO916,3,5,2,1,2,2,3,2,1,4,1,2,2,1,2,4,1,1,3,1,3,1,3,3
GO979,3,3,3,5,4,5,1,5,3,2,3,4,5,3,2,2,3,3,2,4,2,3,3,5
GO996,3,3,3,3,1,3,4,5,3,3,3,4,2,3,2,1,4,2,3,4,4,3,3,3
HI020,1,4,2,3,1,4,4,3,1,5,3,1,2,2,2,2,5,2,3,4,3,5,5,3
HI087,4,3,3,2,3,2,1,1,4,2,4,5,3,4,3,4,3,5,5,3,2,3,3,5
HI097,4,4,4,3,5,3,3,2,3,1,3,3,3,5,3,2,3,3,3,2,2,2,5,3
HI191,3,4,2,3,3,1,2,3,4,4,4,4,3,3,5,4,3,3,3,3,3,2,3,4
HI255,3,2,4,4,4,3,4,4,4,3,3,1,4,2,4,3,4,3,3,3,1,1,3,5
HI261,3,4,5,2,3,3,2,2,2,4,3,2,4,1,4,5,3,3,1,3,3,4,4,2
HI408,3,4,3,3,4,5,2,2,4,2,4,3,1,3,1,2,3,1,1,2,3,5,1,3
HI431,3,1,1,2,3,5,3,1,2,5,1,3,2,1,2,5,4,2,1,3,1,3,4,3
HI475,4,4,3,4,1,2,4,1,1,3,4,5,3,5,4,2,3,3,2,3,4,3,5,3
HI505,2,2,3,3,2,3,3,4,3,5,3,2,3,4,1,3,2,5,3,2,1,4,4,3
HI544,1,3,4,3,4,4,3,3,3,3,4,3,3,1,2,2,3,2,3,2,2,3,4,4
HI560,4,5,1,3,2,5,2,3,5,4,1,1,4,1,4,5,1,2,1,1,3,4,3,3
HI612,2,2,3,4,3,5,1,4,3,4,5,4,3,3,3,3,4,4,1,2,3,3,2,3
HI664,3,3,5,4,3,4,4,3,2,5,5,2,4,1,1,3,3,3,3,2,3,4,3,3
HI745,3,4,3,2,5,2,3,4,4,4,1,4,4,3,2,3,2,5,4,3,4,3,1,2
HI757,5,4,5,1,2,1,4,2,3,2,5,3,4,3,3,3,2,3,2,3,3,3,4,2
HI781,3,3,1,2,1,4,2,3,3,5,4,1,3,1,1,2,3,2,3,4,4,3,3,3
HI866,3,3,3,3,2,3,4,4,2,3,3,5,2,2,2,2,4,3,3,4,2,5,4,1
HI929,3,4,3,5,4,4,2,2,3,3,2,4,4,3,3,3,1,1,4,3,3,3,3,1
HI979,4,3,2,1,1,1,2,2,2,3,2,3,4,3,4,2,3,3,5,3,3,3,3,3
HI980,3,3,4,2,4,4,4,1,2,5,2,3,2,4,1,1,3,2,3,3,3,4,3,2
MA035,1,4,4,4,2,2,3,2,2,4,3,1,3,2,2,1,3,3,1,1,3,4,5,1
MA063,4,2,1,3,3,3,1,5,1,2,3,5,5,1,2,3,3,3,2,2,1,4,3,4
MA113,3,4,1,4,4,2,2,2,4,2,2,5,3,4,4,3,4,3,3,3,5,4,2,2
MA152,4,1,3,3,2,4,4,5,2,1,3,4,2,2,3,3,3,3,4,3,3,4,2,4
MA172,3,3,3,2,2,1,3,5,3,3,4,5,3,3,2,1,3,1,4,4,3,3,3,4
MA178,4,1,4,4,1,4,2,2,3,3,3,5,2,3,3,4,2,1,5,3,5,3,3,3
MA213,5,2,2,3,1,4,5,4,2,4,3,2,3,4,2,3,1,4,2,3,3,3,2,3
MA244,3,3,3,2,3,4,3,3,2,3,2,3,2,2,1,3,4,3,4,2,3,3,4,3
MA260,3,3,4,4,3,1,2,4,3,3,3,5,3,3,1,4,3,4,1,4,5,3,3,3
MA311,5,3,1,3,3,4,3,5,4,3,3,3,1,3,3,3,3,1,5,1,3,5,3,4
MA440,2,1,2,5,1,3,3,4,2,1,4,3,3,3,4,2,2,1,1,4,4,2,4,3
MA491,3,1,3,4,3,3,4,2,2,3,3,5,3,2,3,3,5,5,3,3,3,4,3,2
MA596,4,5,4,2,4,5,3,2,1,3,3,5,3,2,3,1,2,4,2,1,3,3,4,3
MA647,3,3,1,2,3,2,3,3,3,4,3,2,2,3,2,3,4,2,3,1,3,5,5,5
MA739,3,2,3,2,1,2,3,1,5,3,2,3,3,4,2,3,4,3,3,3,4,2,4,1
MA799,3,3,3,2,3,3,3,3,2,5,4,4,3,4,3,3,4,3,1,5,3,3,3,2
MA865,4,3,4,3,4,4,3,1,4,2,4,3,3,2,3,3,2,4,1,3,3,5,4,3
MA867,4,4,1,5,3,3,4,2,1,2,4,3,3,2,4,3,3,1,3,1,4,2,2,5
MA944,1,2,2,4,4,5,3,2,2,4,5,5,4,4,3,4,2,3,3,3,3,3,3,3
MA972,1,5,5,1,3,4,3,3,4,3,2,3,2,3,4,3,2,4,3,2,3,3,3,3
PY001,3,4,2,2,4,1,5,3,4,3,4,3,3,3,5,1,2,3,3,3,2,3,3,2
PY014,5,4,4,3,1,3,4,2,3,5,4,3,3,3,4,3,4,2,3,3,1,2,3,1
PY041,2,3,3,2,5,3,3,1,3,3,3,2,2,3,1,2,4,2,2,1,5,1,3,3
PY048,5,4,2,1,3,2,4,4,5,3,3,3,2,3,5,3,1,4,2,3,4,2,2,2
PY084,4,2,3,2,3,2,4,3,1,5,4,2,2,3,3,2,4,1,3,3,4,4,2,2
PY164,3,3,4,1,3,2,4,3,3,3,3,3,4,2,3,3,3,4,4,1,4,2,3,3
PY191,2,3,5,2,1,4,3,3,3,2,2,2,2,2,4,3,2,3,5,2,4,4,3,3
PY240,3,3,4,4,3,4,4,3,3,3,1,3,3,2,1,2,4,1,3,2,2,4,4,3
PY303,4,4,2,3,4,3,4,3,2,3,3,3,1,2,4,3,2,1,2,2,5,4,1,4
PY430,3,2,4,1,4,4,4,4,5,4,3,1,2,4,5,4,3,2,5,3,3,4,5,3
PY528,3,2,5,2,5,2,5,3,3,1,3,3,1,3,4,1,3,1,4,2,1,4,3,1
PY613,3,4,3,3,3,5,3,3,4,1,2,2,3,3,4,3,2,2,4,1,3,2,2,1
PY622,5,1,2,3,3,5,2,4,3,3,2,2,2,3,2,5,3,3,3,2,3,1,5,3
PY633,1,3,2,4,5,5,3,4,2,1,4,3,5,5,3,3,3,3,1,3,1,3,1,3
PY771,3,3,5,3,4,3,4,3,1,5,3,2,5,2,3,4,4,1,2,4,3,3,3,4
PY805,2,2,5,2,5,5,4,3,1,3,4,4,2,3,3,3,4,3,2,1,2,1,3,2
PY847,1,1,3,5,5,1,4,3,3,3,5,3,2,4,3,2,3,3,2,5,4,3,1,3
PY853,3,4,2,3,3,3,2,3,3,5,3,3,3,2,2,4,3,4,5,2,2,3,1,4
PY884,2,4,3,2,3,3,4,3,5,3,4,1,4,3,3,3,3,5,3,2,4,3,3,4
PY895,3,3,5,1,2,4,4,2,2,4,3,4,5,1,5,4,4,3,3,3,3,5,3,1
PY965,3,1,5,3,5,1,3,2,3,3,3,3,1,2,4,4,4,2,1,1,3,3,2,3
PY980,3,3,4,3,1,3,1,3,3,2,3,3,4,2,2,4,2,1,3,4,3,3,1,4
ST049,3,4,3,3,3,2,2,3,4,5,3,1,5,3,2,5,2,3,2,4,5,5,2,4
ST073,3,4,3,3,3,4,4,2,3,2,1,3,4,5,3,4,3,4,4,3,3,1,2,5
ST110,1,2,2,3,2,1,5,4,3,2,3,4,5,2,3,3,2,4,4,5,1,2,4,3
ST128,3,3,3,1,3,2,5,3,4,5,1,2,4,4,1,5,3,3,4,2,3,3,2,3
ST190,2,3,3,3,2,2,2,2,2,1,1,3,2,2,3,1,2,4,3,2,2,5,2,5
ST277,1,4,3,3,2,4,3,3,3,2,4,2,2,3,1,5,2,3,3,3,3,3,5,4
ST286,3,2,4,3,2,2,3,3,3,3,2,2,3,1,3,2,2,2,2,2,3,2,4,3
ST311,3,2,4,4,1,4,2,3,4,5,2,5,1,5,4,5,3,5,4,3,3,3,3,2
ST316,3,1,3,3,3,3,2,3,1,2,4,2,2,4,2,2,3,3,2,3,3,3,4,5
ST388,3,5,3,3,4,5,5,4,3,2,3,4,1,2,3,4,3,3,5,3,4,3,4,4
ST513,5,3,2,4,4,1,3,4,3,4,3,3,4,3,3,4,2,3,3,1,4,3,5,3
ST522,1,3,2,5,3,3,3,3,1,3,3,3,3,4,3,3,2,3,1,3,4,2,4,3
ST533,1,5,2,3,3,5,3,5,3,2,3,2,2,2,1,2,3,1,1,2,5,3,3,3
ST572,3,2,3,4,3,4,2,4,3,3,3,2,3,3,1,2,3,5,3,2,5,1,2,3
ST594,1,3,2,3,2,4,4,5,1,3,4,5,3,5,2,3,2,2,2,3,3,2,1,5
ST608,3,2,2,2,2,2,2,3,4,1,2,4,2,4,3,4,1,4,3,3,2,2,4,2
ST688,3,2,3,2,3,4,1,5,3,3,2,3,3,3,4,4,3,1,5,1,4,1,5,1
ST749,1,3,3,3,3,4,4,4,2,2,3,4,2,2,5,1,3,2,4,4,2,3,4,3
ST774,3,3,3,5,2,2,5,1,4,5,2,3,2,3,3,3,2,3,3,3,4,5,4,1
ST794,2,1,3,4,1,2,1,3,5,3,3,3,4,4,2,3,3,4,2,4,3,2,3,1
ST808,5,2,5,4,3,2,3,5,4,3,3,3,5,5,2,5,5,3,3,4,5,3,3,3
ST989,2,5,2,4,3,1,3,1,5,2,4,3,3,2,1,4,4,2,4,3,2,4,3,3
