courseId,2025-03-03 10:00:00,2025-03-03 14:00:00,2025-03-04 10:00:00,2025-03-04 14:00:00,2025-03-05 10:00:00,2025-03-05 14:00:00,2025-03-06 10:00:00,2025-03-06 14:00:00,2025-03-07 10:00:00,2025-03-07 14:00:00,2025-03-10 10:00:00,2025-03-10 14:00:00,2025-03-11 10:00:00,2025-03-11 14:00:00
GO989,4,3,3,3,5,3,5,4,3,1,3,3,4,3
HI003,1,5,3,4,5,4,3,5,5,2,2,1,4,1
HI038,3,4,4,2,4,3,3,1,2,1,1,3,4,3
HI123,3,3,2,4,2,3,5,2,3,3,3,3,4,4
HI163,5,3,3,5,2,1,5,3,4,4,3,4,1,5
HI334,3,1,3,2,2,2,3,2,3,3,4,3,1,3
HI473,4,3,4,1,3,3,4,3,3,3,3,1,2,2
HI640,4,3,3,2,3,3,1,4,3,4,3,1,2,2
HI655,4,1,3,4,3,4,4,2,2,1,3,2,5,3
HI704,1,3,2,3,2,1,3,3,4,5,1,3,3,2
HI875,3,2,1,4,5,5,3,4,4,2,1,3,2,5
HI910,3,3,3,3,5,3,1,3,4,3,4,4,3,4
HI957,4,5,4,5,3,2,1,2,2,3,4,1,1,3
HI977,2,5,3,3,2,1,2,4,2,3,3,3,3,1
HI984,5,4,4,3,4,4,3,3,2,4,3,5,4,5
HI993,2,3,5,4,3,4,4,5,5,5,4,3,3,4
MA112,3,4,3,3,3,5,4,4,3,3,3,4,4,3
MA123,5,1,5,3,3,3,4,4,5,4,3,4,4,2
MA322,1,2,3,3,1,3,5,2,3,2,4,3,2,1
MA399,4,2,4,5,3,3,3,5,5,3,4,3,1,3
MA404,2,4,1,4,3,2,4,2,2,3,3,4,3,4
MA480,5,3,4,1,3,4,3,4,3,3,5,1,1,2
MA505,2,2,2,5,3,2,4,2,5,2,2,3,4,2
MA516,4,2,5,3,2,3,1,3,3,3,1,1,3,4
MA541,3,3,3,4,1,3,4,4,5,2,2,3,2,3
MA602,2,2,4,3,1,4,4,4,2,1,5,3,4,3
MA707,1,2,4,3,3,4,3,3,2,3,4,1,3,3
MA746,2,3,3,1,2,5,3,2,3,3,1,3,3,5
MA801,3,3,2,2,2,5,5,3,2,3,4,3,2,1
MA845,3,3,4,4,3,5,4,3,4,3,3,2,3,4
MA854,2,3,2,4,2,2,2,3,3,1,4,2,3,4
MA923,2,5,5,4,3,4,3,2,1,3,2,4,1,4
PY031,2,4,4,2,3,5,2,3,3,5,1,3,4,3
PY106,3,3,4,1,3,2,3,4,3,4,1,1,1,3
PY135,3,3,4,4,4,4,4,1,3,4,2,4,4,3
PY143,2,2,1,1,2,4,1,2,3,2,5,5,2,5
PY156,2,3,4,2,5,1,3,3,1,5,4,2,2,3
PY192,3,3,1,5,3,5,3,4,2,3,3,5,4,2
PY329,3,2,5,3,5,3,3,3,3,4,3,3,5,3
PY667,4,4,3,1,2,4,3,3,1,3,3,1,3,3
PY670,2,3,4,3,3,5,4,4,4,4,5,3,3,3
PY690,3,2,5,4,4,5,3,4,3,3,3,5,5,4
PY723,3,3,4,3,3,3,2,3,3,1,3,4,3,4
PY877,1,2,3,3,3,2,3,2,4,4,2,5,3,5
PY917,1,4,3,3,3,3,2,1,1,5,3,5,4,4
PY949,4,2,3,3,3,3,2,2,3,2,2,4,4,1
PY962,5,3,3,1,3,3,4,4,3,4,1,4,5,4
PY993,1,3,4,3,4,3,3,2,3,2,4,2,5,2
ST294,1,3,1,2,3,3,4,4,3,2,4,3,2,5
ST323,2,1,3,2,3,4,3,4,3,3,2,4,4,3
ST334,4,3,3,3,2,4,4,4,3,3,5,5,4,3
ST351,2,3,3,1,3,3,1,3,2,4,3,2,3,2
ST390,5,3,5,3,2,4,3,3,3,2,3,5,2,1
ST434,3,4,3,3,3,5,1,2,2,3,3,3,3,1
ST507,1,2,2,2,3,2,3,3,2,1,3,4,3,2
ST521,2,3,1,4,4,3,4,3,5,2,3,3,2,4
ST758,1,3,4,3,4,2,3,4,3,5,1,3,4,2
ST782,2,3,1,4,5,2,5,2,4,2,2,2,2,4
ST797,4,4,3,1,3,2,3,3,4,1,3,1,3,3
ST807,5,3,1,2,3,2,4,1,1,4,3,2,2,3
ST872,3,3,3,2,2,3,3,3,2,3,3,1,2,3
ST890,5,2,3,3,3,4,3,3,2,3,2,3,2,5
ST945,4,3,4,5,5,2,2,3,3,3,3,1,3,3
