courseId,Room1,Room2,Room3,Room4,Room5,Room6,Room7,Room8,Room9,Room10,Room11,Room12,Room13,Room14,Room15,Room16,Room17,Room18
CH982,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,3,4,3
EN016,0,0,0,0,0,3,0,1,0,2,0,4,5,4,4,3,3,1
EN190,3,3,2,4,3,1,0,3,1,4,3,3,3,4,3,3,3,2
EN203,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,4,2,3
EN403,0,0,0,0,0,1,0,0,5,3,2,3,3,4,2,4,3,5
EN570,0,0,0,0,0,0,0,0,0,1,3,3,3,1,4,5,5,4
EN723,0,0,0,0,0,3,0,0,0,2,5,3,3,2,4,3,2,1
EN757,0,0,0,0,0,3,5,0,3,3,0,5,3,4,2,2,1,3
EN810,3,4,3,5,0,4,0,0,0,4,0,2,1,5,3,4,3,2
EN981,0,0,0,0,0,1,0,0,0,3,0,1,1,3,3,3,2,3
GO043,4,4,0,0,0,2,0,0,3,3,4,3,1,3,3,1,3,1
GO256,0,0,0,0,0,4,0,0,0,3,4,1,5,1,3,4,4,4
GO274,4,3,4,0,4,3,4,3,3,3,4,1,1,2,2,4,2,5
GO352,3,2,4,0,0,3,0,0,0,5,3,2,3,1,1,2,3,4
GO394,4,4,3,0,0,5,0,0,0,3,0,3,4,5,3,2,3,5
GO631,2,3,0,0,0,4,0,0,2,5,2,4,3,2,4,3,3,3
GO633,3,2,3,5,0,3,0,4,0,5,0,2,1,2,3,3,4,3
GO652,2,3,4,0,0,1,0,0,0,4,0,3,4,2,2,2,1,3
GO830,5,1,2,0,5,3,3,1,2,5,5,1,5,3,4,3,3,3
HI039,3,2,1,0,0,2,3,0,0,3,3,4,2,3,4,5,3,3
HI098,0,0,0,0,0,3,3,0,0,3,3,2,3,5,1,5,3,4
HI212,4,3,4,4,3,3,3,4,4,4,3,4,2,3,1,3,3,3
HI218,3,3,3,0,3,2,0,3,3,3,3,3,4,3,3,1,3,3
HI512,3,3,3,0,4,4,0,5,1,2,1,3,4,2,5,1,5,3
HI769,2,3,2,0,0,4,3,0,3,4,0,3,2,2,3,2,3,4
HI807,2,3,2,5,3,4,3,1,3,5,3,4,4,2,2,3,3,4
HI808,5,3,2,4,0,4,0,0,0,3,0,3,2,4,4,2,1,1
HI836,0,0,0,0,0,3,3,0,0,3,0,3,4,3,5,2,2,4
MA086,3,2,1,0,0,2,0,2,0,1,0,1,4,2,3,4,3,3
MA258,0,0,0,0,0,3,4,0,1,3,0,2,3,2,3,1,3,4
MA298,3,3,4,5,2,3,2,5,5,3,4,3,3,1,4,2,4,4
MA407,4,1,0,2,0,1,0,0,3,3,3,3,3,5,3,5,4,2
MA442,5,2,4,3,0,4,4,0,0,1,3,2,3,3,5,3,4,2
MA498,4,5,3,0,0,2,0,0,0,3,0,1,2,5,3,5,3,3
MA571,3,3,2,3,2,3,3,2,1,4,3,1,5,1,3,5,2,2
MA602,2,3,2,3,0,3,0,4,0,3,0,3,3,2,4,3,2,3
MA661,3,4,4,0,0,3,0,0,2,4,0,3,2,1,2,5,4,5
PY026,3,2,3,3,4,1,3,2,3,4,3,3,3,3,4,4,5,4
PY251,3,3,0,0,0,1,0,0,3,3,4,3,3,1,3,2,4,3
PY276,0,0,0,0,0,1,0,5,0,3,0,3,4,3,2,2,1,3
PY294,4,2,0,0,0,2,0,0,0,2,0,3,4,3,3,1,5,4
PY295,2,5,3,3,0,4,3,0,3,5,0,3,3,3,3,5,2,2
PY329,0,0,0,0,0,4,0,5,2,4,3,4,4,4,3,2,3,5
PY713,0,0,0,0,0,4,2,0,0,4,0,3,3,2,3,3,4,3
PY714,4,2,3,0,2,4,0,1,3,4,2,3,4,3,2,3,4,3
PY875,1,4,1,4,0,5,0,3,0,3,0,5,3,3,4,4,3,3
ST156,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,4,2
ST220,0,0,0,0,0,4,0,0,0,3,0,3,3,1,2,3,4,5
ST229,0,0,0,0,0,0,0,0,0,3,3,2,3,3,1,1,4,2
ST424,0,0,0,0,0,0,0,0,0,3,3,2,1,4,3,3,4,4
ST444,0,0,0,0,0,5,1,1,2,2,2,5,2,2,4,3,4,1
ST503,0,0,0,0,0,3,0,3,0,1,0,5,3,5,1,3,2,4
ST525,0,0,0,0,0,3,0,0,3,2,2,2,2,4,3,3,2,4
ST959,0,0,0,0,0,3,0,0,0,4,0,3,3,3,3,1,3,4
ST964,0,0,0,0,0,0,0,0,0,2,0,4,4,2,3,5,4,1
