courseId,2025-03-03 10:00:00,2025-03-03 14:00:00,2025-03-04 10:00:00,2025-03-04 14:00:00,2025-03-05 10:00:00,2025-03-05 14:00:00,2025-03-06 10:00:00,2025-03-06 14:00:00,2025-03-07 10:00:00,2025-03-07 14:00:00,2025-03-10 10:00:00,2025-03-10 14:00:00,2025-03-11 10:00:00,2025-03-11 14:00:00,2025-03-12 10:00:00,2025-03-12 14:00:00,2025-03-13 10:00:00,2025-03-13 14:00:00,2025-03-14 10:00:00,2025-03-14 14:00:00,2025-03-17 10:00:00,2025-03-17 14:00:00
CA930,2,3,3,3,3,5,4,3,3,3,2,3,1,3,3,2,5,5,4,3,4,2
CH219,4,2,4,2,4,5,2,3,5,3,4,3,3,2,2,4,3,3,3,3,4,5
CH500,3,4,4,3,5,2,2,4,3,4,4,1,4,3,3,3,5,1,3,3,4,3
CH528,2,2,3,4,2,2,5,1,5,3,4,2,1,4,4,4,2,4,4,3,4,4
CH570,3,1,3,1,3,3,1,3,2,4,5,1,5,3,2,1,3,4,4,1,1,3
CH804,2,2,2,4,5,3,5,3,3,2,3,5,3,3,3,2,4,3,3,3,3,1
CH850,3,2,4,4,4,3,3,2,4,2,3,2,2,3,1,4,3,1,3,1,2,4
CH935,1,4,1,2,4,3,2,3,2,4,3,4,4,3,5,3,5,1,3,3,3,3
CH965,4,1,2,4,3,5,4,5,4,2,2,4,3,1,3,5,3,3,3,2,3,3
CH982,1,4,3,4,4,2,3,3,4,2,3,3,2,2,3,4,3,3,3,4,2,4
EN016,2,3,1,2,3,2,4,1,3,3,1,2,3,3,3,3,3,1,3,5,3,3
EN190,3,4,4,3,5,2,1,4,4,2,2,1,2,4,3,3,3,1,2,3,5,4
EN203,1,4,4,4,3,3,3,1,2,2,3,4,3,1,5,5,4,5,3,5,1,3
EN403,2,2,2,3,4,3,2,4,3,3,3,2,3,5,2,3,4,4,1,2,1,3
EN570,3,2,5,3,2,3,3,1,2,4,3,3,3,1,2,3,2,1,4,5,4,4
EN723,2,5,2,5,5,4,5,3,2,3,3,1,3,5,2,4,5,5,5,3,5,4
EN757,2,3,4,2,3,3,2,3,4,3,1,1,3,5,2,3,2,3,4,4,1,3
EN810,1,3,3,2,2,3,5,5,1,4,3,3,4,5,5,3,3,4,2,3,3,3
EN981,2,2,5,2,3,2,1,1,2,4,2,5,3,3,3,3,4,2,3,4,5,4
GO043,3,4,3,3,2,3,2,3,4,2,1,1,5,3,3,4,4,3,3,4,3,2
GO256,4,3,2,3,1,2,4,1,3,3,1,5,2,3,3,2,1,4,5,2,3,4
GO274,4,3,3,3,4,4,2,3,5,4,5,4,3,3,3,1,3,4,2,4,3,5
GO352,1,2,3,2,4,4,2,3,3,3,5,4,3,4,3,5,3,4,4,2,4,2
GO394,3,3,5,4,4,4,3,5,3,3,2,4,4,3,1,4,1,4,5,3,2,4
GO631,4,3,5,1,3,4,4,2,4,3,3,2,4,2,3,2,4,3,4,2,3,3
GO633,4,5,1,3,1,3,2,3,3,3,3,4,3,1,4,2,3,3,3,1,3,5
GO652,3,3,3,2,3,4,2,2,2,3,5,1,3,2,5,2,3,4,4,3,3,3
GO830,2,2,3,2,2,3,5,3,1,1,5,2,1,3,3,3,2,1,5,2,3,4
HI039,3,3,2,3,4,5,2,2,5,4,4,2,3,4,3,3,1,3,2,3,5,3
HI098,4,2,3,5,2,1,3,1,4,5,3,2,3,4,1,3,3,3,2,4,1,2
HI212,4,4,1,2,2,2,2,1,3,4,3,3,1,5,4,4,4,5,3,2,3,4
HI218,4,3,1,3,5,3,3,2,3,4,3,4,3,3,2,4,3,3,3,5,1,4
HI512,2,3,1,3,3,1,3,5,2,4,3,3,2,2,2,1,2,3,4,4,3,2
HI769,2,3,2,3,3,3,3,4,4,3,5,5,3,3,3,5,4,2,3,3,3,2
HI807,4,3,4,4,4,3,3,2,3,2,3,2,2,2,1,4,4,3,2,1,1,2
HI808,4,2,3,2,2,3,3,2,1,3,2,2,5,3,3,3,3,3,3,4,2,3
HI836,3,4,3,3,2,3,2,3,2,3,2,3,4,2,3,3,1,4,1,3,3,3
MA086,3,2,1,4,3,4,4,4,3,3,4,3,2,4,4,3,1,3,4,5,2,1
MA258,4,3,3,5,1,3,1,3,4,3,5,3,3,2,3,3,1,3,3,4,3,4
MA298,1,2,3,3,1,4,4,3,1,4,3,4,4,4,3,2,3,3,4,2,2,4
MA407,4,5,4,3,3,4,3,3,2,3,4,2,2,3,2,2,3,5,3,2,1,3
MA442,3,4,3,4,2,3,2,5,3,3,2,2,3,2,3,2,3,4,4,4,2,1
MA498,3,3,3,1,2,1,4,2,3,1,3,3,4,4,3,5,5,4,4,2,3,1
MA571,1,5,3,4,4,4,5,2,1,3,2,1,3,4,3,3,3,2,1,4,3,4
MA602,1,4,3,3,3,4,3,3,5,4,3,4,3,2,3,5,5,3,3,2,5,5
MA661,3,4,4,3,1,3,3,3,3,5,2,3,3,3,3,2,2,3,3,2,4,3
PY026,3,4,2,1,4,3,3,4,4,5,3,3,3,2,3,2,5,3,3,3,1,1
PY251,3,1,3,4,4,3,2,4,4,2,4,2,4,5,1,4,3,5,3,4,1,3
PY276,1,5,4,4,5,1,3,1,2,2,3,2,2,2,2,5,4,5,3,2,4,3
PY294,2,2,2,2,3,3,1,2,4,2,3,4,2,1,3,3,3,4,2,3,3,2
PY295,3,2,3,1,3,3,4,1,3,3,4,3,3,4,4,3,3,4,5,4,3,2
PY329,3,4,3,3,4,3,4,3,3,3,4,2,2,5,2,3,3,3,3,2,3,3
PY713,3,2,3,2,2,2,2,4,2,5,5,3,2,3,4,3,1,3,4,4,2,3
PY714,2,2,4,2,2,1,4,4,3,4,2,3,3,1,3,5,1,2,2,2,5,3
PY875,3,4,2,3,3,3,5,4,3,4,2,1,2,3,3,3,5,3,3,1,1,3
ST156,3,4,2,1,3,2,1,4,2,3,2,2,3,4,3,4,2,4,2,3,3,5
ST220,3,1,1,4,3,4,2,3,1,5,3,5,2,3,3,3,4,5,4,4,2,2
ST229,5,1,4,4,3,5,3,3,1,3,2,3,4,5,2,3,5,1,1,2,3,2
ST424,5,3,3,2,3,3,4,4,3,5,4,4,1,1,2,3,3,3,4,4,5,3
ST444,3,2,2,2,3,3,4,2,4,3,2,3,2,3,3,2,2,3,5,3,4,3
ST503,5,4,3,3,4,3,3,1,4,4,2,3,3,2,5,2,1,3,4,1,3,3
ST525,2,2,3,2,5,4,5,2,5,3,3,1,1,3,3,2,3,2,3,3,4,4
ST959,3,3,3,4,3,2,1,3,3,4,2,3,4,4,3,3,3,5,2,5,3,3
ST964,1,3,3,2,3,5,3,4,1,3,2,3,5,3,1,3,3,3,4,4,3,3
