courseId,Room1,Room2,Room3,Room4,Room5,Room6,Room7,Room8,Room9,Room10,Room11,Room12,Room13,Room14,Room15,Room16,Room17,Room18,Room19,Room20,Room21,Room22,Room23,Room24,Room25,Room26,Room27,Room28,Room29,Room30,Room31,Room32,Room33,Room34,Room35,Room36
BI338,4,2,3,3,0,3,0,2,3,4,1,1,2,0,2,0,0,0,2,3,3,5,3,4,3,2,3,4,3,4,5,1,1,2,3,2
BI343,4,1,0,0,5,3,5,5,3,0,2,2,4,1,1,0,3,0,3,0,3,2,4,5,1,3,3,2,4,2,4,3,3,2,2,1
BI345,2,0,0,0,4,3,4,5,2,0,3,4,3,3,2,1,3,0,0,0,4,4,2,1,2,4,4,2,2,4,5,4,3,2,3,2
BI346,4,0,0,0,4,3,3,3,1,0,3,3,4,0,3,5,1,0,3,0,3,3,3,4,3,5,4,2,2,3,4,1,2,5,3,2
BI349,2,0,0,0,3,4,4,4,3,0,3,2,4,3,4,1,4,2,0,1,3,4,3,2,3,4,3,2,2,5,3,1,4,3,2,5
BI350,3,0,0,0,2,2,2,4,3,0,2,3,4,3,4,3,4,1,0,5,5,2,3,1,4,3,3,2,5,3,2,3,2,3,5,4
BI360,3,4,3,2,0,3,0,5,2,4,5,3,1,0,2,0,0,0,3,3,3,4,3,4,3,3,2,3,3,2,5,3,5,1,3,1
BI363,2,0,0,0,2,3,4,0,0,0,0,4,0,3,5,3,4,0,0,0,3,3,0,2,4,5,4,3,3,4,3,3,5,3,3,1
BI370,1,1,5,3,3,4,3,3,2,4,2,1,2,2,2,3,2,3,1,2,3,5,4,5,3,3,3,3,2,3,3,3,3,2,3,1
BI371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,2,5,1,1,3,4,5,3,1,3,2
BI372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,5,5,5,3,2,3,3,2,3,3
BI375,1,0,0,0,3,1,5,1,3,0,4,1,5,5,3,3,1,3,0,4,3,3,2,2,2,1,3,4,3,3,3,3,3,3,4,2
BI379,1,3,0,3,4,3,0,4,4,2,3,2,3,0,3,0,0,0,3,4,3,3,1,2,3,3,5,5,4,3,5,3,3,4,1,2
BI381,4,3,3,3,0,3,3,2,2,5,3,3,3,4,3,3,3,1,5,5,5,5,4,3,4,3,2,3,5,3,4,1,3,3,1,2
BI387,2,4,1,2,1,3,3,0,0,2,0,4,0,3,2,2,4,3,0,3,5,4,0,3,3,3,1,3,3,2,4,2,3,2,3,1
BI389,2,3,3,3,2,3,3,0,0,3,0,5,0,5,3,3,2,3,0,3,4,3,0,5,4,5,4,3,3,5,3,2,3,3,1,4
BI395,2,3,0,0,0,3,0,2,1,0,4,2,5,0,5,0,0,0,3,0,3,1,2,2,4,3,4,5,3,5,3,2,3,3,4,3
BI402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,4,5,4,1,2,4,3,2,3,4
BI406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,2,3,3,3,3,2,5,1,4,3
BI409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,3,2,2,3,1,5,5,3,3,3,4,3
BI412,2,0,0,0,2,1,4,4,4,0,3,3,1,3,1,3,5,3,0,2,3,3,4,3,4,1,5,2,4,3,4,3,2,5,2,2
BI413,4,2,2,3,4,2,0,0,0,5,0,3,0,0,4,0,0,0,0,3,3,4,0,2,5,3,2,3,5,4,3,1,1,2,3,3
BI415,3,4,0,0,0,2,1,3,4,0,4,3,4,2,5,2,2,0,5,0,4,3,3,5,3,5,3,3,4,2,5,3,5,3,4,3
BI416,3,0,0,0,2,5,2,3,2,0,2,2,5,4,2,4,5,1,0,3,3,3,3,1,4,1,3,2,4,3,3,3,4,3,4,1
BI417,2,3,5,1,1,2,0,3,4,1,2,3,3,0,2,0,0,0,3,2,4,4,3,3,2,3,3,4,2,1,2,2,3,2,4,2
BI419,4,0,0,0,0,4,3,4,5,0,3,2,3,3,3,3,5,3,0,3,3,3,2,3,3,3,3,3,3,3,2,2,1,1,2,1
BI425,2,3,0,3,0,4,3,5,3,1,5,4,3,3,3,0,2,3,5,1,4,1,3,3,3,1,3,3,1,2,3,3,2,3,5,1
BI440,3,0,0,0,3,4,2,0,0,0,0,4,0,0,3,4,2,4,0,0,3,3,0,2,5,3,2,1,4,1,2,3,3,3,3,4
BI446,5,0,4,5,3,3,2,3,3,4,5,1,1,0,4,2,3,3,3,0,4,3,5,3,2,2,5,4,1,4,3,3,2,4,1,2
BI450,3,2,3,1,3,5,3,3,3,3,4,2,4,4,4,1,1,3,4,3,2,1,3,4,2,1,3,3,4,4,3,2,3,5,5,4
BI451,3,0,4,3,2,5,3,2,2,3,3,1,4,0,4,2,3,1,3,0,4,3,1,3,3,5,5,2,2,2,4,1,2,3,2,1
BI457,3,0,0,0,2,3,0,4,3,0,1,4,5,0,3,0,0,0,0,0,3,3,2,2,2,4,3,4,2,5,4,3,1,2,5,3
BI463,3,2,0,2,3,3,3,3,3,4,4,4,2,4,2,0,5,4,3,4,5,3,3,4,2,2,4,3,2,3,3,5,3,3,5,5
BI472,3,0,0,2,2,3,3,3,3,1,1,3,2,0,3,0,3,3,4,0,4,3,2,3,5,2,2,2,4,3,1,4,3,3,3,2
BI475,3,3,3,4,3,2,3,4,1,1,3,3,2,4,3,5,2,4,1,3,3,3,4,1,3,2,4,1,4,4,4,2,3,1,4,4
BI485,3,0,0,0,2,5,4,4,5,0,5,3,4,0,1,3,1,0,2,0,4,2,3,3,2,4,2,2,3,3,5,4,3,3,3,2
BI487,3,0,3,2,3,1,4,3,3,3,5,1,4,0,4,4,2,4,3,0,2,3,3,4,4,3,4,3,2,5,1,3,4,3,1,1
BI496,3,5,3,3,3,2,1,2,3,2,1,4,4,5,3,1,4,2,3,4,4,5,4,3,2,5,2,5,3,2,4,1,4,2,4,3
BI501,3,0,0,0,2,3,3,3,2,0,2,4,1,5,2,2,3,0,0,0,1,4,3,2,2,5,2,4,3,1,3,4,4,3,4,2
BI502,5,4,4,4,3,3,3,3,3,2,3,2,2,3,4,3,4,2,3,2,2,3,3,2,3,4,2,1,3,1,5,3,3,3,3,1
BI518,5,3,2,3,2,1,3,0,0,2,0,1,0,3,3,4,4,5,0,4,5,4,0,1,1,4,3,4,3,3,4,5,1,4,4,3
BI521,3,0,1,3,1,2,4,3,3,2,4,4,3,0,4,4,4,2,2,0,1,2,4,2,5,3,2,3,2,5,4,1,5,4,1,3
BI524,3,0,4,1,3,1,5,4,2,3,2,4,1,0,5,3,2,3,3,0,3,3,3,4,1,3,4,1,4,4,3,1,2,3,2,5
BI526,3,2,5,4,0,3,2,5,3,4,3,4,1,5,5,3,4,4,5,3,3,4,4,3,4,1,4,2,2,3,3,3,3,3,2,4
BI533,3,3,3,5,4,1,4,5,3,5,3,3,3,3,2,2,1,2,3,3,2,5,2,3,2,2,1,3,4,2,3,1,4,4,1,3
BI535,5,3,3,3,0,5,5,0,0,3,0,5,0,3,1,3,5,3,0,1,3,5,0,5,4,3,3,3,4,3,3,2,2,4,5,3
BI536,1,5,4,3,3,3,3,4,2,2,1,3,2,2,1,2,3,1,3,3,1,3,5,5,1,4,3,1,2,3,3,3,4,2,3,3
BI538,3,5,0,0,3,3,0,3,3,0,3,2,4,0,3,0,0,0,1,0,3,3,4,4,2,4,3,2,3,3,3,5,3,5,3,2
BI544,3,0,0,0,0,1,3,1,3,0,5,2,3,3,5,3,2,3,0,4,4,2,5,1,5,4,3,4,1,1,2,1,3,2,4,3
BI545,3,0,0,0,3,4,0,2,4,0,3,3,4,0,4,0,0,0,0,0,4,2,1,5,3,2,4,4,1,3,4,2,3,1,4,4
BI547,2,4,0,0,3,1,5,0,0,0,0,4,0,5,3,2,5,0,0,0,1,3,0,3,4,5,3,4,5,3,2,3,5,5,3,4
BI548,2,0,0,0,2,3,3,3,2,0,5,3,3,4,3,0,3,3,0,3,3,4,4,3,4,1,3,4,3,3,3,5,3,4,5,4
BI558,3,1,3,3,4,3,5,2,4,3,3,4,2,1,3,3,4,5,1,3,3,5,5,4,3,2,3,3,4,3,4,3,4,2,2,2
BI560,4,1,0,0,3,5,3,2,2,0,3,3,3,3,2,3,4,0,4,0,5,2,3,4,2,1,4,3,3,3,4,3,4,3,3,3
BI563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,2,3,5,3,4,5,5,4,3,5,4
BI564,4,0,0,4,4,1,2,0,0,3,0,1,0,0,3,0,2,2,0,0,3,2,0,4,5,3,2,3,4,3,3,4,5,2,5,3
BI570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,5,3,3,4,4,3,3,3,5,3,2,2
BI572,2,2,0,3,0,3,3,2,1,1,2,4,3,1,3,0,3,3,3,3,2,4,4,5,1,4,4,5,2,4,1,3,3,4,4,3
BI586,3,2,3,3,2,4,2,3,4,5,4,2,4,2,5,4,4,1,3,4,4,1,5,1,3,3,2,1,4,3,2,4,4,3,2,1
BI591,4,3,0,4,3,2,5,3,3,5,5,3,2,5,3,0,3,3,4,3,4,4,4,4,4,3,2,4,3,2,2,2,4,4,2,4
BI594,2,4,3,4,0,3,0,1,5,3,3,3,2,0,5,0,0,0,3,2,3,5,2,3,3,3,3,3,1,5,4,2,3,4,5,5
BI596,4,2,5,4,3,3,0,3,2,1,2,3,2,0,2,0,0,0,4,2,3,2,5,3,3,4,5,4,3,3,3,1,4,3,1,5
BI598,3,4,0,4,1,2,4,4,3,3,2,5,2,2,3,0,5,1,1,3,3,2,3,3,4,1,5,3,2,1,3,2,3,2,3,3
BI601,1,3,0,1,4,3,5,2,5,3,3,3,1,5,3,0,1,1,3,3,3,3,3,3,1,2,1,5,4,5,3,4,3,3,2,4
BI604,5,0,0,0,5,4,2,3,3,0,4,3,2,5,3,5,3,4,0,3,5,1,4,5,3,3,3,4,4,3,4,3,2,3,3,2
BI610,3,0,0,0,3,3,5,0,0,0,0,2,0,0,3,4,4,5,0,0,3,2,0,4,3,3,3,4,2,3,3,3,5,4,3,4
BI614,3,4,2,4,3,2,2,3,4,1,3,4,3,4,2,3,5,3,3,4,3,4,5,1,4,2,3,4,4,4,5,3,3,3,3,3
BI618,4,0,0,0,0,3,3,3,4,0,4,4,3,4,1,1,1,3,0,5,3,3,2,3,3,3,3,3,3,4,1,4,3,3,3,3
BI621,2,5,3,5,3,2,3,1,5,4,4,3,3,5,2,4,3,5,4,5,3,2,3,4,4,1,3,2,4,2,3,2,3,5,2,1
BI624,1,0,0,3,3,1,4,4,5,5,3,3,4,0,3,0,3,3,2,0,4,1,5,2,3,3,1,3,3,4,4,1,2,3,2,3
BI626,5,3,0,0,4,2,4,4,2,0,5,4,2,3,3,3,3,0,3,0,4,2,4,2,3,5,3,2,2,3,4,5,4,4,4,4
BI628,1,5,3,5,1,4,4,0,0,3,0,3,0,2,2,3,5,5,0,1,2,2,0,3,3,3,3,3,4,4,3,1,2,2,3,2
BI629,3,0,0,0,0,2,0,4,3,0,3,3,3,0,4,0,0,0,0,0,4,4,5,3,4,5,1,3,4,5,4,4,5,3,1,1
BI630,3,3,3,3,5,3,4,5,3,3,4,4,3,2,2,2,2,2,3,5,3,5,4,4,3,3,4,5,3,1,4,2,1,4,3,3
BI636,5,3,3,2,3,4,3,2,1,3,3,3,3,2,3,5,2,3,3,4,2,5,3,4,2,4,4,3,3,3,1,4,1,2,3,1
BI637,5,4,0,0,0,2,4,2,3,0,4,1,2,3,3,4,3,0,2,0,3,2,3,3,2,3,4,3,4,2,3,3,3,3,4,3
BI641,1,3,4,5,3,3,3,4,5,4,3,1,4,4,4,2,3,2,4,2,3,2,1,3,2,3,5,5,2,4,3,5,4,1,3,3
BI642,4,0,0,0,5,5,3,4,4,0,1,3,3,3,2,3,3,3,0,1,4,5,3,4,2,4,2,3,3,3,3,3,3,4,3,2
BI645,3,4,0,0,3,3,2,3,2,0,1,3,3,5,3,4,1,0,4,0,2,3,3,4,1,3,4,5,4,2,4,4,4,4,5,1
BI646,2,4,0,0,0,4,2,3,1,0,3,1,4,4,4,0,3,0,2,0,4,1,2,5,3,5,5,3,2,4,2,2,4,3,2,3
BI647,4,0,0,0,3,4,0,3,1,0,2,2,2,0,1,0,0,0,1,0,5,2,4,4,3,3,3,3,3,5,4,2,3,3,2,3
BI648,5,3,2,2,0,3,3,3,1,2,3,1,4,2,3,3,3,4,3,4,3,3,4,3,3,4,5,3,3,1,3,3,4,3,4,1
BI659,3,5,2,1,3,4,3,3,3,2,4,2,3,3,4,4,4,3,2,2,4,4,5,1,3,3,4,3,4,3,2,2,1,3,1,3
BI661,3,4,4,2,2,2,5,3,2,4,3,4,2,3,3,4,4,3,2,3,5,3,4,3,3,3,4,4,3,3,3,2,5,3,4,4
BI663,4,5,3,4,0,3,4,2,4,4,4,3,3,3,4,3,3,3,2,2,1,3,4,1,1,3,4,2,2,2,3,2,3,4,3,1
BI666,3,3,0,0,4,4,2,5,3,0,2,2,3,3,3,3,3,0,1,0,3,3,1,2,2,5,3,1,2,1,3,2,3,3,4,3
BI670,3,0,0,0,3,3,3,5,3,0,2,3,5,3,5,1,5,3,0,4,2,1,2,3,5,2,3,2,4,2,2,2,3,4,3,1
BI672,3,0,0,0,2,4,3,3,2,0,5,2,5,3,2,3,5,3,0,2,3,4,5,3,3,1,2,2,1,2,3,5,3,3,5,2
BI676,3,3,1,4,1,2,2,5,3,3,3,2,3,3,2,3,2,2,4,3,3,3,3,3,4,3,5,5,3,4,3,3,1,3,5,4
BI680,4,2,3,2,3,3,0,3,3,2,1,4,1,0,4,0,0,0,2,5,4,3,2,1,1,3,1,5,2,4,2,3,1,4,3,1
BI683,4,3,0,0,5,1,2,5,3,0,4,2,4,4,4,0,3,0,3,0,3,3,3,4,3,2,3,4,3,3,2,3,5,5,3,4
BI685,4,5,3,3,3,1,0,4,4,4,1,3,2,0,5,0,0,0,3,3,2,3,1,3,5,4,5,4,4,3,3,3,4,2,1,5
BI687,1,5,0,3,3,4,2,4,4,2,1,2,2,1,4,0,4,2,3,3,4,3,3,4,3,1,3,4,1,3,3,5,2,2,3,3
BI695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,2,2,3,3,2,3,5,3,4,5,1
BI697,1,3,3,3,3,3,1,5,2,5,2,2,2,5,1,3,4,3,3,5,4,3,3,5,5,3,4,3,3,2,2,3,3,2,3,3
