courseId,2025-03-03 10:00:00,2025-03-03 14:00:00,2025-03-04 10:00:00,2025-03-04 14:00:00,2025-03-05 10:00:00,2025-03-05 14:00:00,2025-03-06 10:00:00,2025-03-06 14:00:00,2025-03-07 10:00:00,2025-03-07 14:00:00,2025-03-10 10:00:00,2025-03-10 14:00:00,2025-03-11 10:00:00,2025-03-11 14:00:00,2025-03-12 10:00:00,2025-03-12 14:00:00,2025-03-13 10:00:00,2025-03-13 14:00:00,2025-03-14 10:00:00,2025-03-14 14:00:00,2025-03-17 10:00:00,2025-03-17 14:00:00,2025-03-18 10:00:00,2025-03-18 14:00:00,2025-03-19 10:00:00,2025-03-19 14:00:00,2025-03-20 10:00:00,2025-03-20 14:00:00,2025-03-21 10:00:00,2025-03-21 14:00:00,2025-03-24 10:00:00,2025-03-24 14:00:00,2025-03-25 10:00:00,2025-03-25 14:00:00,2025-03-26 10:00:00,2025-03-26 14:00:00,2025-03-27 10:00:00,2025-03-27 14:00:00,2025-03-28 10:00:00,2025-03-28 14:00:00,2025-03-31 10:00:00,2025-03-31 14:00:00,2025-04-01 10:00:00,2025-04-01 14:00:00,2025-04-02 10:00:00,2025-04-02 14:00:00
BI115,3,4,3,3,4,4,4,4,3,3,2,3,5,4,3,3,2,2,3,2,3,3,2,4,4,4,4,2,3,5,4,3,3,1,2,3,3,4,5,3,3,2,2,2,3,4
BI128,1,4,4,3,3,2,4,4,3,2,3,3,4,4,5,3,1,4,1,3,2,3,2,3,3,3,3,1,4,3,3,2,5,3,2,2,2,4,3,1,3,2,5,3,3,3
BI131,1,3,5,3,5,2,3,2,4,4,4,3,3,3,3,4,3,3,4,5,5,3,3,5,2,2,3,3,3,1,2,4,3,5,3,1,5,3,3,5,4,3,1,1,2,4
BI158,4,2,1,3,5,3,4,4,4,5,5,3,3,4,4,4,2,3,2,2,3,4,3,3,4,5,4,2,3,4,4,3,3,3,3,1,3,3,1,1,2,3,4,3,4,3
BI161,2,4,4,1,4,3,3,3,2,3,2,2,2,2,2,4,4,4,4,3,3,4,3,4,3,3,4,3,3,2,3,3,3,3,3,3,3,4,4,3,3,4,3,4,2,3
BI163,3,1,4,3,3,3,3,3,4,5,3,3,3,4,3,2,3,4,2,1,5,4,3,1,5,4,3,4,3,3,5,3,3,4,2,3,3,1,2,2,3,2,3,4,3,4
BI167,3,4,4,2,4,5,4,5,1,2,5,1,3,2,3,3,2,3,2,3,4,3,3,3,2,3,3,2,3,3,3,2,2,4,5,4,3,5,3,1,3,2,3,2,3,5
BI171,5,3,2,3,4,2,1,4,3,4,3,1,4,2,2,3,3,3,3,4,3,4,3,3,3,3,3,3,4,3,2,4,3,3,3,2,4,4,2,4,2,3,3,4,1,2
BI172,3,4,3,5,3,3,3,1,2,3,5,2,4,3,1,2,3,2,4,3,2,4,2,5,2,4,3,4,2,2,2,2,2,4,4,3,3,4,4,3,4,3,5,3,4,4
BI174,2,3,3,2,3,3,2,3,2,2,3,4,3,3,3,3,3,3,1,4,5,3,3,4,1,2,2,1,1,5,2,3,3,2,3,3,3,3,5,5,3,2,4,3,3,3
BI177,5,3,3,1,3,2,3,2,5,1,5,3,5,3,1,2,3,5,4,3,3,3,3,4,3,4,3,3,3,4,3,5,4,4,3,3,3,1,3,5,3,2,3,1,4,3
BI178,3,3,3,2,5,3,3,3,3,5,3,3,3,1,5,2,3,3,4,5,1,2,4,3,3,3,3,2,3,3,3,3,2,2,1,3,2,1,3,4,3,2,3,3,1,5
BI180,4,2,3,4,2,1,4,3,3,3,3,5,4,2,3,3,4,5,1,1,1,3,5,3,3,4,5,5,3,5,4,4,1,2,3,3,2,4,4,4,3,3,4,4,1,3
BI181,4,3,2,1,2,3,2,1,1,3,3,4,3,4,2,3,3,1,5,5,3,2,2,4,2,3,3,2,4,3,4,2,3,3,3,5,3,3,2,3,3,3,5,3,2,2
BI186,5,5,3,4,3,4,3,1,1,4,3,5,3,5,3,4,2,3,3,3,2,3,3,3,2,3,3,3,3,1,3,4,4,3,3,2,3,3,3,3,5,2,5,3,4,5
BI188,5,3,3,3,3,2,5,4,2,5,5,3,4,2,2,4,3,1,4,3,2,3,3,4,3,3,3,2,1,3,3,1,2,2,3,4,3,3,5,3,4,3,3,4,4,2
BI190,2,3,2,3,4,2,3,4,4,2,3,5,3,3,3,3,3,4,2,3,3,3,4,2,4,5,3,2,5,3,3,2,1,2,2,5,4,3,3,2,3,5,5,5,1,2
BI191,2,2,2,1,3,2,2,3,2,1,3,3,4,4,5,2,3,1,3,3,2,4,5,2,2,2,3,1,1,2,3,2,5,3,3,1,4,4,3,4,2,4,3,3,4,3
BI194,3,2,4,3,3,2,5,3,3,5,3,1,2,4,2,2,3,3,3,2,2,4,3,3,2,4,2,3,3,4,1,3,5,3,3,3,2,2,4,2,2,3,4,3,1,3
BI206,2,3,4,2,3,5,4,2,2,5,2,3,3,2,2,2,3,5,3,5,2,2,2,3,5,2,3,5,3,3,3,2,3,4,3,3,2,3,1,2,5,5,3,4,2,2
BI211,3,4,4,3,5,2,4,2,5,2,3,3,3,2,3,4,4,3,3,2,4,4,1,4,4,4,3,3,3,3,4,3,3,4,1,2,3,3,5,3,3,4,5,3,3,3
BI212,3,3,5,3,3,3,3,3,3,3,2,2,4,5,3,4,2,2,3,3,2,5,3,5,2,3,3,4,1,4,2,4,3,2,4,3,1,1,2,4,3,3,2,4,3,3
BI215,3,4,1,1,1,4,4,3,1,4,4,5,4,3,3,3,3,3,1,4,1,1,1,5,5,2,2,1,5,3,3,3,5,4,4,3,2,3,2,3,5,4,3,3,3,4
BI220,2,5,2,3,3,3,3,4,3,4,1,3,2,5,1,1,4,4,2,5,4,2,3,3,3,4,3,1,3,2,3,3,1,1,4,3,5,5,2,4,3,2,3,2,3,3
BI225,3,3,3,3,5,3,3,1,3,3,3,3,3,5,3,2,1,3,4,2,3,5,3,4,2,3,3,1,3,3,3,3,3,2,3,5,2,3,4,3,1,3,4,3,4,1
BI227,2,3,2,4,2,3,1,3,2,1,2,3,3,4,3,3,3,3,5,3,4,2,4,4,2,4,3,3,4,1,3,4,4,4,4,3,2,2,5,2,2,4,4,3,1,3
BI236,4,4,3,3,1,2,4,3,3,4,3,3,5,2,3,3,2,3,3,3,1,3,4,4,3,4,2,4,1,4,1,4,4,4,3,5,3,3,3,3,2,2,2,2,4,3
BI239,1,3,5,4,3,2,3,3,5,3,3,3,5,3,4,3,4,3,3,3,3,3,3,3,4,4,3,4,1,3,3,3,3,4,1,2,1,2,5,3,3,5,3,2,4,3
BI244,5,4,5,4,2,4,3,2,3,1,4,3,4,3,4,2,3,4,2,4,2,4,3,3,3,4,2,2,1,5,3,3,3,3,2,5,2,5,3,3,4,3,2,3,3,2
BI250,3,2,5,3,2,4,2,3,5,4,2,3,4,2,2,2,5,4,4,2,3,3,4,3,3,3,3,1,3,3,1,3,3,2,2,5,2,3,2,3,3,5,3,4,3,2
BI252,4,3,3,5,5,3,1,1,3,4,4,5,4,4,4,4,3,3,3,2,3,5,5,2,3,5,2,4,2,3,5,1,3,3,5,3,5,3,3,1,5,2,5,3,2,3
BI253,3,5,4,2,3,3,3,5,2,1,3,4,4,2,2,4,3,3,2,4,5,5,3,2,2,2,3,3,3,3,4,4,1,5,3,2,5,2,3,5,3,5,2,3,1,3
BI255,1,3,4,4,3,1,2,2,1,2,3,2,4,1,4,3,3,3,3,3,2,3,4,2,1,3,5,3,4,3,2,3,3,2,3,3,4,3,5,1,2,1,4,2,3,4
BI259,3,1,4,2,1,4,1,3,3,3,4,1,4,4,4,3,2,1,3,4,1,2,4,2,3,4,3,4,2,5,1,4,1,4,2,3,3,3,1,4,4,3,3,3,3,3
BI261,2,4,3,4,5,2,3,3,2,2,1,3,3,1,3,3,3,1,2,1,1,3,3,5,2,4,2,3,3,3,4,1,3,3,1,1,4,4,3,3,5,2,2,4,1,3
BI262,3,4,3,3,4,3,5,3,4,3,5,3,3,5,3,3,3,4,3,4,2,2,3,2,3,1,2,5,4,1,4,3,4,2,3,5,3,4,4,2,2,2,2,3,5,3
BI269,5,3,3,5,3,3,3,3,2,3,3,4,1,4,2,4,4,4,5,5,3,4,4,3,4,3,4,4,3,3,3,3,3,4,3,3,1,2,4,5,3,3,3,3,4,2
BI271,3,4,1,2,3,3,4,2,3,3,3,1,2,4,3,4,4,4,5,2,1,3,5,2,3,3,3,3,5,4,4,3,4,3,4,4,3,2,3,4,3,4,3,4,3,4
BI275,3,3,1,3,2,2,3,3,4,3,5,3,3,4,3,2,3,1,2,2,1,2,4,3,3,4,3,3,4,3,3,2,1,2,3,3,3,3,4,4,1,2,3,2,2,1
BI280,5,2,3,3,2,4,3,3,2,4,1,3,3,1,3,3,2,2,3,2,3,3,3,4,3,3,3,2,5,5,4,2,4,5,5,5,3,2,3,2,4,2,2,2,3,3
BI286,3,2,3,5,5,3,2,5,2,4,2,5,2,3,3,1,3,3,3,1,3,3,2,2,4,2,3,1,5,1,3,3,3,4,5,4,3,1,3,2,3,2,4,3,2,3
BI287,3,3,2,4,1,2,3,3,1,3,2,2,1,3,4,3,4,3,1,4,5,4,2,5,5,4,3,2,2,3,4,3,3,3,4,1,4,4,4,3,3,3,2,3,2,3
BI309,4,2,2,3,3,3,2,2,2,3,1,5,5,4,4,3,3,3,1,2,3,5,5,4,3,2,3,5,4,3,4,4,3,3,3,1,3,1,4,3,3,1,1,2,3,3
BI315,3,3,3,1,3,2,4,3,2,4,4,3,2,3,3,2,3,4,3,2,4,4,3,2,1,4,3,4,3,2,3,3,4,2,3,3,3,3,3,3,3,1,3,3,4,2
BI316,3,3,3,3,2,2,1,5,2,3,2,3,4,3,3,3,3,2,4,3,2,3,4,3,2,3,3,3,4,3,3,3,4,3,1,5,1,4,5,2,4,3,3,2,3,3
BI317,3,2,3,4,4,2,3,3,3,3,3,3,2,3,2,4,4,5,4,2,3,4,4,2,5,3,3,3,2,3,2,4,1,4,4,3,1,4,4,3,1,3,5,2,3,4
BI319,3,3,4,3,4,3,3,4,4,3,2,5,3,5,2,2,1,3,3,2,3,1,5,3,5,3,3,1,1,3,3,2,2,3,3,4,1,1,5,1,4,4,5,3,3,3
BI321,5,4,4,3,3,3,1,3,3,4,3,3,1,4,4,4,2,3,3,4,3,4,1,1,2,3,4,3,4,4,3,5,2,2,5,2,5,5,3,1,3,1,3,1,1,3
BI322,5,4,3,3,5,2,1,2,3,3,3,3,3,4,3,2,3,3,3,3,2,2,3,1,3,3,1,1,1,3,3,2,4,3,3,1,1,3,4,4,3,3,3,3,5,5
BI327,3,3,4,2,3,4,1,3,2,4,5,2,2,5,3,1,1,5,3,5,3,4,2,1,4,2,4,1,3,4,1,3,3,4,2,4,3,3,2,4,4,3,3,1,3,3
BI335,2,2,4,2,2,3,3,3,3,5,2,1,2,1,4,5,1,2,4,4,2,5,3,5,1,4,1,4,5,3,3,2,3,3,3,3,3,1,3,2,3,3,3,3,3,2
BI336,4,3,3,2,3,3,3,3,2,4,2,3,3,4,3,3,4,4,3,3,4,4,5,4,2,3,2,3,2,4,4,2,2,2,3,3,3,3,1,3,3,3,2,4,4,3
BI337,3,1,2,5,4,2,3,1,3,4,3,4,5,2,3,4,3,2,5,3,1,3,2,4,1,3,3,4,4,4,4,5,2,4,3,4,3,3,2,3,5,3,3,2,4,5
BI338,2,3,3,4,3,3,1,3,3,5,3,2,5,3,4,5,4,5,3,1,5,3,4,3,4,1,1,5,3,3,5,5,3,3,5,2,3,4,4,4,4,2,3,2,1,4
BI343,4,2,3,1,3,2,3,3,4,3,5,2,3,5,2,4,2,5,4,3,4,3,2,3,3,3,5,3,3,3,2,2,3,3,3,5,4,3,4,5,2,4,3,4,3,4
BI345,4,3,2,3,3,5,3,2,1,4,5,1,3,3,4,3,3,3,3,3,5,3,3,1,2,5,2,2,2,3,3,3,5,1,2,3,2,3,4,4,3,4,3,4,5,3
BI346,3,2,2,4,4,3,4,2,1,1,3,1,4,4,4,3,1,3,3,3,5,4,2,1,4,3,2,4,3,4,4,3,3,3,1,5,5,3,4,5,1,3,3,3,5,2
BI349,3,4,4,2,2,2,3,3,4,4,2,3,3,4,3,2,5,5,2,4,4,3,3,2,2,2,1,4,1,1,2,3,2,2,5,2,3,5,1,3,3,4,5,1,3,3
BI350,5,4,5,2,1,5,3,3,2,3,5,4,3,5,2,3,3,1,1,3,3,5,3,3,3,4,3,3,2,4,3,3,3,1,3,5,1,2,2,1,4,4,3,4,3,3
BI360,3,3,3,4,5,3,5,3,3,2,4,3,3,2,2,3,3,3,3,4,1,2,2,3,3,3,3,3,4,1,3,1,2,1,3,2,1,4,1,3,5,4,3,2,4,3
BI363,2,5,1,4,3,4,3,4,3,3,5,3,4,4,3,3,2,3,3,2,4,3,4,5,5,4,4,4,3,2,2,3,3,3,5,2,2,4,3,1,2,3,3,3,4,3
BI370,3,2,2,3,2,3,3,2,2,4,3,4,3,3,3,2,3,3,2,4,2,2,4,2,3,4,2,3,5,3,1,2,4,3,1,3,4,4,3,4,3,3,3,2,3,3
BI371,4,3,3,3,5,3,4,4,3,2,1,5,3,4,3,2,3,3,3,1,3,2,3,1,3,3,5,2,5,5,2,4,2,3,5,4,3,2,3,4,3,1,3,3,4,5
BI372,4,4,2,4,5,3,3,4,3,4,3,2,5,5,5,5,3,3,4,1,2,2,2,3,3,3,4,2,4,5,3,1,2,4,3,3,4,4,4,3,3,4,4,1,2,2
BI375,4,3,5,4,3,5,5,3,3,3,1,4,4,3,2,4,4,4,2,2,3,2,3,4,5,3,4,3,2,5,1,1,2,5,1,3,3,3,4,3,3,3,2,3,3,2
BI379,3,3,3,3,2,2,3,3,3,3,5,3,2,3,3,3,3,3,4,2,3,3,1,3,4,4,1,3,5,4,3,1,1,1,4,3,3,4,4,4,4,2,4,2,4,4
BI381,4,4,2,3,3,3,3,4,2,3,2,5,2,3,1,4,3,4,2,3,5,2,5,5,3,3,2,4,3,2,4,2,3,2,3,3,3,2,3,5,4,3,1,3,3,4
BI387,1,3,3,1,3,2,1,3,5,3,4,2,2,4,2,3,3,3,5,4,5,2,3,2,3,1,4,3,3,4,4,3,5,2,1,3,1,3,3,3,3,3,3,4,4,3
BI389,3,2,3,2,4,3,2,4,5,2,2,4,3,1,5,3,1,3,4,3,2,1,4,3,3,4,2,2,3,1,4,3,3,1,4,5,4,3,4,4,2,2,2,4,3,2
BI395,5,2,2,4,4,3,2,3,3,4,1,4,5,4,3,1,1,2,3,3,3,1,4,3,3,2,3,2,5,3,3,5,2,3,2,1,1,1,4,3,5,3,4,2,2,3
BI402,4,3,3,3,3,3,3,3,3,4,1,3,4,3,3,3,3,3,2,3,4,1,3,5,3,3,2,4,3,4,2,1,2,2,4,4,5,1,2,5,2,3,3,2,4,4
BI406,3,4,3,3,3,1,3,2,5,3,5,1,3,3,1,3,3,2,1,4,3,3,5,1,3,5,3,3,1,4,4,2,3,3,3,3,2,3,4,2,3,4,3,4,3,4
BI409,3,3,3,3,4,2,5,2,3,1,3,1,1,3,3,1,5,3,4,5,5,3,1,3,1,3,5,2,4,2,2,2,3,4,3,3,2,2,5,2,3,3,3,3,1,4
BI412,1,4,3,5,3,1,3,5,1,3,3,1,2,1,3,4,3,2,3,4,3,2,2,3,1,3,5,4,3,5,3,4,2,2,4,2,3,2,3,3,4,4,2,3,5,3
BI413,3,1,3,5,5,4,3,4,3,3,4,2,3,3,5,1,3,2,4,3,2,3,2,3,1,3,4,3,2,4,3,4,4,2,5,1,3,2,2,2,1,4,2,1,2,1
BI415,1,4,1,4,2,5,4,2,2,2,2,2,3,3,2,4,4,3,2,3,3,5,4,1,1,4,2,2,5,3,4,2,3,3,4,2,2,1,3,3,1,3,2,1,3,2
BI416,3,4,5,3,3,2,4,4,4,3,3,2,4,3,5,3,4,3,4,3,3,2,4,4,3,3,3,3,3,3,1,2,1,4,4,2,3,3,2,3,4,3,3,2,1,2
BI417,4,4,2,1,4,3,1,4,3,2,1,4,2,3,2,3,1,4,3,1,3,3,2,3,4,2,2,2,3,1,3,1,2,4,4,3,4,3,3,2,5,4,4,5,4,4
BI419,4,2,4,3,3,2,4,3,2,4,1,2,3,4,3,2,3,3,4,4,4,3,5,4,4,4,5,3,5,2,4,2,3,3,5,2,3,2,3,3,3,1,4,3,3,3
BI425,3,2,2,1,3,1,3,4,1,3,3,4,4,2,2,3,2,4,2,4,2,2,5,3,3,1,2,2,2,2,2,4,1,4,3,2,3,4,4,3,3,1,3,2,2,3
BI440,5,4,3,3,4,1,4,2,2,2,3,2,3,1,3,4,3,4,3,4,3,3,2,3,4,4,2,5,3,2,5,3,2,4,3,2,3,5,1,3,3,3,2,2,4,3
BI446,2,1,4,3,4,1,3,2,3,2,2,4,4,5,1,4,5,1,5,5,2,3,2,5,1,3,3,3,2,3,3,3,3,5,3,4,3,1,5,4,3,3,3,2,3,5
BI450,1,4,1,4,2,3,3,3,3,4,4,1,4,1,4,4,2,2,1,2,3,3,2,3,3,2,3,5,3,5,3,1,4,1,5,3,3,4,3,3,2,4,3,3,2,4
BI451,3,1,2,1,1,1,3,4,3,2,1,2,3,3,4,3,4,5,1,2,1,3,3,2,2,3,1,5,5,2,2,3,3,1,1,3,2,3,2,3,5,3,3,5,1,2
BI457,3,2,4,1,2,4,3,2,3,3,2,4,4,3,3,4,4,3,3,5,1,1,4,3,1,4,2,4,3,2,3,2,3,3,2,3,3,4,1,4,3,3,5,2,3,3
BI463,2,1,5,4,3,3,3,5,4,2,4,4,5,1,4,3,3,3,4,3,3,5,3,4,2,4,3,3,2,2,3,4,3,3,3,2,1,4,4,4,4,2,2,2,3,3
BI472,1,5,2,1,3,2,3,5,3,3,4,2,2,4,2,4,2,3,3,2,3,4,1,3,1,2,2,4,4,4,1,2,3,4,1,2,3,1,2,3,2,3,4,2,3,4
BI475,3,1,3,4,3,3,4,3,1,4,2,3,3,3,2,4,2,5,3,4,4,5,3,1,1,3,3,2,5,3,5,1,3,3,1,3,2,3,5,5,2,3,3,2,4,3
BI485,3,5,2,4,4,2,2,3,1,3,3,4,3,3,3,2,3,5,3,1,5,4,4,3,4,2,4,3,5,2,2,4,5,2,2,3,4,3,5,4,3,3,4,3,4,3
BI487,4,1,5,4,3,3,3,1,3,1,2,3,3,5,5,4,2,3,3,4,4,1,3,3,1,3,5,1,2,2,3,3,5,4,3,3,3,2,3,3,1,3,4,3,4,4
BI496,3,3,3,3,5,3,2,5,2,4,3,4,2,3,2,2,2,3,3,2,3,2,3,3,1,4,3,3,3,5,2,3,4,3,3,2,4,4,3,4,1,3,2,2,5,4
BI501,4,3,3,4,2,2,4,2,3,5,5,3,5,2,2,3,4,1,2,3,1,3,3,4,3,3,3,3,3,3,3,3,5,2,2,2,3,3,2,3,4,3,4,1,3,4
BI502,3,2,4,2,4,1,3,3,5,4,3,4,2,3,4,3,3,3,2,3,2,4,5,1,4,4,1,3,4,3,3,5,4,3,3,2,4,2,1,1,2,4,5,4,2,4
BI518,4,4,2,3,3,3,3,1,5,3,2,4,1,2,3,3,3,3,4,1,3,5,2,4,2,3,5,4,3,3,3,3,5,3,3,2,3,4,2,2,3,3,3,2,2,2
BI521,4,3,3,2,3,4,2,1,3,4,3,3,3,5,3,3,3,3,3,4,4,2,3,3,5,1,2,4,2,3,5,3,3,4,4,4,2,3,1,1,1,2,3,5,1,4
BI524,3,2,3,1,4,2,1,3,3,3,4,3,4,2,2,5,3,1,4,3,3,2,4,2,1,2,4,4,2,3,2,3,2,5,4,3,4,2,4,3,3,4,5,4,4,4
BI526,3,2,3,1,1,4,3,1,2,3,5,4,3,2,3,4,4,3,3,4,4,3,4,2,3,3,5,2,4,5,3,4,4,3,2,5,1,3,3,3,5,1,4,1,2,4
BI533,2,3,5,4,4,2,2,4,4,2,3,3,3,3,2,3,5,3,3,3,4,4,5,3,5,1,3,3,3,5,2,3,4,4,4,3,3,3,2,3,4,1,3,3,2,5
BI535,3,4,2,4,1,1,2,4,5,4,3,3,3,2,3,3,3,1,2,3,3,3,3,4,2,5,3,3,1,3,3,4,4,3,3,3,5,5,4,2,5,3,3,3,3,3
BI536,3,4,3,2,2,2,3,3,3,5,5,3,2,1,2,3,3,1,2,1,4,2,3,3,3,3,3,2,3,4,3,5,4,4,4,3,4,3,2,1,3,3,3,3,2,4
BI538,3,4,4,2,3,2,1,1,5,1,3,1,4,3,2,3,3,2,4,3,3,1,3,3,4,3,4,3,4,2,4,3,4,4,2,4,2,3,3,3,4,4,2,2,1,4
