courseId,Room1,Room2,Room3,Room4,Room5,Room6,Room7,Room8,Room9,Room10,Room11,Room12,Room13,Room14,Room15,Room16,Room17,Room18
GO791,1,3,3,3,2,0,1,0,3,4,5,3,2,4,3,2,5,2
GO805,3,0,0,3,1,1,3,0,2,5,4,2,1,2,3,3,3,4
GO842,0,0,0,4,4,3,3,0,2,0,3,3,3,3,4,3,1,3
GO918,0,0,0,0,0,0,0,0,3,4,2,0,3,1,1,5,5,1
HI051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,3
HI062,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,3,1
HI065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
HI071,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,2,2
HI266,5,0,0,1,5,0,1,0,2,2,4,2,3,1,2,4,4,5
HI272,3,3,2,3,4,4,5,0,4,5,4,3,5,3,2,3,3,2
HI314,3,3,5,4,4,4,5,4,4,3,3,4,3,3,4,3,1,2
HI335,0,0,0,4,3,0,4,0,4,0,5,0,1,5,3,5,4,1
HI463,3,4,3,3,2,2,5,2,3,3,3,5,4,1,3,5,2,2
HI501,0,0,0,0,0,0,0,0,0,0,2,0,4,2,2,1,3,4
HI509,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,3,3
HI543,3,0,0,1,1,0,3,0,4,0,3,3,2,1,3,4,1,2
HI562,3,0,0,4,4,0,4,0,4,3,3,0,3,2,2,2,3,3
HI565,0,0,0,3,4,3,3,0,4,3,4,3,2,2,3,3,3,2
HI585,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,1,2,2
HI606,0,0,0,0,0,0,0,0,4,4,4,0,3,5,3,3,2,3
HI676,0,0,0,4,2,2,5,4,2,3,3,3,4,2,3,2,5,5
HI712,2,4,4,3,5,2,3,0,3,3,1,1,4,4,1,2,4,4
HI903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2
HI910,0,0,0,0,0,0,0,0,3,3,2,0,3,2,2,4,4,3
MA002,3,1,3,3,1,3,3,4,3,4,3,3,1,3,3,3,3,5
MA043,0,0,0,0,0,0,0,0,2,3,2,3,3,3,5,3,5,1
MA048,0,0,0,3,4,0,3,0,3,3,3,0,3,2,3,3,3,3
MA071,5,0,0,2,1,0,3,0,4,4,3,4,3,5,2,3,3,3
MA111,3,2,3,4,1,2,1,3,4,5,2,3,4,4,3,4,5,4
MA178,3,2,4,3,2,3,3,3,3,3,3,4,4,4,3,4,4,2
MA189,2,0,0,3,4,0,3,0,4,4,5,0,3,3,1,1,3,3
MA203,2,5,4,3,3,2,3,2,2,3,4,4,5,3,3,3,3,4
MA224,4,3,3,3,1,1,3,4,3,1,2,4,2,4,3,4,3,4
MA258,3,5,4,4,4,3,4,0,4,0,3,2,3,3,4,3,3,3
MA283,0,0,0,0,0,0,0,0,0,0,2,4,1,4,2,3,3,4
MA380,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,4,3,3
MA407,0,0,0,4,3,0,1,0,2,3,2,3,4,3,4,2,4,3
MA542,0,0,0,3,2,3,2,2,3,5,5,3,3,3,2,4,2,4
MA566,0,0,0,3,3,0,3,0,3,3,2,0,5,4,4,4,1,4
MA591,0,0,0,2,2,4,5,0,4,4,3,4,3,2,4,3,1,3
MA790,0,0,0,2,3,3,3,3,1,5,2,1,4,5,4,3,3,5
MA814,0,0,0,0,0,0,0,0,2,4,3,3,3,2,1,2,3,2
MA857,1,5,1,4,3,2,4,3,4,2,3,2,4,2,4,5,4,3
MA930,0,0,0,2,1,5,4,3,1,0,3,2,2,3,1,2,3,2
MA945,0,0,0,3,3,4,2,0,3,3,4,5,3,2,3,2,2,2
PY025,0,0,0,3,4,1,5,4,3,4,4,4,3,5,3,3,5,1
PY076,0,0,0,3,4,0,4,1,3,2,2,0,4,4,3,1,2,3
PY152,0,0,0,5,3,5,4,0,3,3,3,1,2,4,3,5,3,4
PY180,0,0,0,0,0,0,0,0,0,0,3,2,2,5,2,4,3,3
PY295,0,0,0,0,0,0,0,0,3,1,2,1,2,5,3,2,2,4
PY325,0,0,0,0,0,0,0,0,0,0,3,4,5,3,3,5,3,5
PY450,3,0,2,3,5,0,2,4,2,0,2,0,5,2,5,4,5,5
PY498,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,2,3,3
PY534,0,0,0,4,3,4,2,4,3,2,1,4,3,2,2,2,5,4
PY619,0,0,0,0,0,0,0,0,0,0,4,3,1,3,3,2,3,3
PY622,0,0,0,0,0,0,0,0,0,0,4,4,3,3,4,3,5,3
PY637,0,0,0,3,1,1,3,0,1,0,1,3,3,3,1,3,3,2
PY676,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,3,2
PY680,0,0,0,0,0,0,0,0,0,0,3,3,1,3,5,4,2,2
PY686,0,0,0,0,0,0,0,0,0,0,4,4,3,3,3,3,3,2
PY779,0,0,0,0,0,0,0,0,0,0,3,2,3,3,4,3,3,3
PY790,0,0,0,0,0,0,0,0,0,0,4,5,3,3,2,3,3,2
PY805,0,0,0,0,0,0,0,0,3,4,1,3,3,5,2,4,3,1
PY907,0,0,0,5,5,4,3,3,2,0,3,3,1,2,2,4,1,5
PY936,0,0,0,0,0,0,0,0,4,0,3,3,3,1,1,3,2,3
PY943,3,0,0,3,4,0,4,0,4,2,2,2,1,4,1,5,3,3
ST078,0,0,0,4,2,0,3,2,1,1,3,0,3,2,4,3,4,5
ST091,0,0,0,5,3,4,3,3,5,5,3,2,2,3,3,1,3,4
ST132,0,0,0,4,1,3,3,0,3,5,3,1,2,3,3,3,3,5
ST162,2,4,2,3,1,0,5,0,5,3,4,1,4,3,3,4,4,4
ST239,0,0,0,1,3,0,1,2,3,4,3,0,1,4,2,1,2,3
ST254,3,3,3,3,3,2,2,1,3,3,5,3,3,4,3,4,4,4
ST264,4,0,0,2,3,2,5,3,2,3,2,5,2,4,2,3,5,3
ST322,0,0,0,4,2,3,2,0,1,4,2,4,3,3,4,3,3,1
ST386,2,0,3,4,2,0,3,3,3,2,4,0,3,3,4,2,2,2
ST435,1,2,1,2,2,0,3,0,4,0,4,3,4,3,3,2,2,3
ST454,3,0,0,4,4,0,3,0,4,3,3,5,3,2,1,5,3,4
ST485,0,0,0,0,0,0,0,0,4,4,4,3,3,2,3,3,2,3
ST807,0,0,0,3,5,4,3,0,2,0,4,2,2,3,2,4,4,4
ST811,0,0,0,2,4,4,3,3,3,0,2,4,5,4,2,3,4,3
ST814,0,0,0,2,3,3,2,4,2,3,3,4,3,1,4,3,2,3
ST833,0,0,0,4,3,0,2,0,3,3,2,5,3,4,4,4,4,4
ST836,0,0,0,2,3,3,1,4,2,3,3,4,3,3,3,3,3,2
ST856,0,0,0,5,2,0,4,3,3,2,5,0,3,3,2,4,3,3
ST882,0,0,0,2,3,0,4,0,4,5,3,4,2,3,4,3,4,3
ST889,0,0,0,4,4,3,3,5,4,1,2,2,2,3,5,3,3,2
