courseId,2025-03-03 10:00:00,2025-03-03 14:00:00,2025-03-04 10:00:00,2025-03-04 14:00:00,2025-03-05 10:00:00,2025-03-05 14:00:00,2025-03-06 10:00:00,2025-03-06 14:00:00,2025-03-07 10:00:00,2025-03-07 14:00:00,2025-03-10 10:00:00,2025-03-10 14:00:00,2025-03-11 10:00:00,2025-03-11 14:00:00,2025-03-12 10:00:00,2025-03-12 14:00:00,2025-03-13 10:00:00,2025-03-13 14:00:00,2025-03-14 10:00:00,2025-03-14 14:00:00,2025-03-17 10:00:00,2025-03-17 14:00:00
EN670,2,3,3,3,2,2,3,3,3,1,1,3,4,4,2,3,4,3,3,5,3,5
EN727,2,2,3,3,3,2,5,3,3,2,3,5,5,2,3,1,4,4,1,3,3,4
EN743,4,2,1,2,2,2,5,4,4,4,5,5,4,3,5,4,5,1,4,3,3,4
EN751,4,2,2,4,1,1,3,4,4,3,4,1,4,4,4,3,4,3,3,3,1,1
EN766,4,2,3,3,2,1,3,1,4,3,3,3,5,4,4,3,1,4,3,3,4,3
EN777,4,5,2,4,4,2,3,2,3,1,3,1,2,3,4,4,4,4,2,1,3,2
EN883,3,5,3,1,2,4,3,3,2,4,4,2,4,4,3,5,3,2,2,4,3,3
EN885,3,3,4,3,4,1,2,4,3,3,3,1,3,5,4,4,3,3,3,3,3,3
EN946,2,2,3,2,5,3,5,3,2,1,3,1,3,4,3,2,4,4,3,2,1,3
EN967,2,4,3,3,3,1,3,3,2,1,4,5,2,4,4,4,2,1,2,3,2,3
EN979,3,4,3,4,4,3,1,2,3,2,5,1,3,3,1,4,2,4,4,1,4,3
GO012,4,3,3,2,5,3,3,3,4,3,4,3,2,2,5,3,3,5,3,5,4,4
GO067,1,4,3,2,1,1,5,3,5,3,3,2,3,3,3,4,2,3,3,1,4,1
GO088,3,4,4,3,4,2,3,2,3,4,3,2,3,1,1,3,2,4,2,3,3,4
GO137,3,2,5,5,3,3,5,3,3,2,2,3,3,3,4,4,4,3,2,3,4,3
GO187,4,3,3,3,4,3,3,5,3,4,3,3,3,5,2,3,3,5,3,4,3,2
GO188,1,3,3,2,2,1,2,2,3,5,3,2,3,4,2,2,2,3,3,3,5,4
GO331,2,4,4,2,2,3,2,4,5,3,2,5,3,5,3,4,1,3,2,4,4,3
GO367,1,3,3,5,3,3,5,3,2,4,4,3,4,2,3,5,3,4,3,5,3,4
GO380,2,3,5,4,3,4,3,3,3,3,3,4,3,4,3,4,1,3,2,4,1,1
GO428,4,2,5,2,3,4,3,4,3,3,1,4,3,3,4,5,1,3,2,2,4,1
GO484,3,3,2,3,5,3,5,3,2,3,4,1,1,4,3,3,3,2,3,2,3,4
GO519,2,4,3,3,1,3,4,4,3,4,5,3,3,2,4,1,4,2,4,3,3,3
GO575,3,4,3,1,4,3,2,2,3,2,3,5,1,3,2,3,3,3,5,5,5,3
GO597,3,2,2,3,2,3,3,1,2,3,3,2,3,5,2,3,3,3,2,3,3,5
GO618,2,4,4,2,4,4,4,4,4,2,4,5,3,2,3,3,2,3,4,3,3,3
GO791,1,4,5,3,5,3,2,4,2,3,3,1,4,2,3,1,2,2,3,3,2,5
GO805,3,2,2,3,3,3,3,2,4,4,5,5,3,4,5,3,3,4,2,3,3,2
GO842,4,3,4,2,3,2,4,2,3,4,2,2,4,3,3,3,3,3,4,2,4,3
GO918,3,3,3,2,3,4,2,3,2,1,2,3,3,3,1,2,2,3,5,2,1,3
HI051,1,3,1,2,3,2,2,1,1,2,3,2,3,1,2,3,4,3,3,1,5,2
HI062,4,3,3,3,2,3,3,1,3,3,5,4,3,1,3,5,2,3,2,2,4,5
HI065,2,5,4,4,3,4,5,2,5,5,4,4,3,1,3,3,2,3,4,3,4,1
HI071,3,2,2,3,4,3,4,5,3,4,3,2,3,3,3,2,1,3,3,3,2,1
HI266,3,3,3,4,1,3,2,1,3,3,5,5,4,2,5,4,2,4,3,3,4,3
HI272,2,3,1,4,3,3,4,2,4,2,5,2,3,4,2,3,4,2,1,3,2,5
HI314,3,4,2,2,3,4,3,2,4,3,3,2,5,4,3,5,4,2,3,3,1,4
HI335,3,3,5,1,2,3,1,3,2,3,3,3,3,4,3,4,4,4,4,4,3,4
HI463,1,4,2,2,3,3,3,3,4,2,1,3,3,2,4,4,3,2,2,2,3,4
HI501,1,3,2,2,1,4,2,5,4,3,3,1,5,3,3,1,2,4,4,5,2,4
HI509,3,3,1,3,3,4,3,5,3,5,3,3,1,3,5,3,4,2,3,3,5,5
HI543,3,3,3,3,3,3,3,5,3,1,3,2,3,2,2,3,3,2,1,3,2,2
HI562,3,2,2,4,5,4,5,4,5,2,2,1,3,1,3,5,4,4,1,3,2,4
HI565,3,4,2,1,2,3,4,2,3,5,1,4,3,1,1,2,5,4,1,3,5,1
HI585,1,2,4,4,3,2,4,1,3,3,1,3,4,3,3,4,3,2,1,3,5,2
HI606,3,4,4,2,1,3,5,4,2,3,4,4,3,3,3,4,3,3,3,2,3,3
HI676,3,3,5,4,2,3,4,5,5,3,3,1,2,3,2,1,3,5,4,3,4,3
HI712,1,3,3,5,3,3,4,4,4,3,3,5,3,5,3,2,1,5,2,1,4,3
HI903,4,5,3,3,4,3,3,1,4,3,2,3,3,3,4,2,3,3,3,1,1,2
HI910,2,3,3,3,5,4,4,4,2,3,3,2,4,2,2,1,3,1,2,3,3,1
MA002,3,5,5,3,1,4,2,5,3,5,2,2,4,3,3,3,1,2,3,3,3,3
MA043,5,3,3,1,1,3,2,4,5,4,3,4,1,3,2,2,3,3,3,3,1,4
MA048,5,1,4,1,2,3,3,3,5,2,3,3,4,4,3,3,3,4,4,4,5,1
MA071,3,5,2,3,3,3,3,1,4,2,3,1,2,2,3,1,5,2,3,3,3,2
MA111,5,3,2,5,4,2,3,4,3,2,2,4,1,2,3,3,3,2,3,5,5,2
MA178,1,2,4,4,3,3,3,3,3,1,1,3,3,3,1,4,4,3,4,1,3,3
MA189,3,4,3,1,4,4,3,2,3,5,3,1,4,2,3,2,4,2,1,2,3,3
MA203,3,5,3,2,3,2,3,2,3,3,4,2,2,2,3,4,3,3,3,2,3,5
MA224,4,4,2,3,3,3,2,3,3,2,4,3,2,1,4,2,3,5,3,4,4,5
MA258,3,5,4,4,3,2,3,2,5,3,3,3,3,1,3,3,3,3,4,4,4,4
MA283,4,2,3,1,2,3,3,4,3,2,4,2,2,4,3,4,3,3,3,3,4,3
MA380,5,3,3,4,3,4,4,5,4,4,3,2,2,3,3,2,3,3,5,4,3,3
MA407,3,4,4,4,3,2,3,2,2,1,3,3,4,2,3,4,3,3,4,3,3,5
MA542,5,2,5,3,3,3,1,2,3,3,1,4,3,3,1,2,3,4,3,3,3,4
MA566,3,2,4,2,2,3,4,3,2,4,3,2,3,4,5,4,2,4,4,5,5,3
MA591,3,2,3,2,3,5,3,2,3,3,1,3,4,2,4,4,4,2,2,2,5,1
MA790,3,3,4,4,3,1,3,2,4,3,4,1,3,3,4,3,3,4,3,1,3,3
MA814,3,2,3,3,3,3,4,2,2,2,2,5,3,2,3,3,2,2,4,4,3,3
MA857,1,1,3,1,3,3,3,5,3,4,2,4,2,3,2,3,3,3,4,2,2,2
MA930,4,3,4,3,2,3,4,5,3,2,1,1,2,3,3,3,1,4,1,3,3,3
MA945,3,2,5,2,4,1,2,5,2,2,4,4,3,4,2,4,3,5,4,3,5,2
PY025,3,3,3,2,3,3,4,4,4,2,4,3,3,3,3,4,3,2,3,3,1,3
PY076,4,3,4,4,2,3,3,1,5,4,3,4,3,2,3,4,2,4,2,3,4,3
PY152,1,3,3,3,4,5,3,4,1,4,4,2,5,3,4,3,3,5,1,5,3,3
PY180,4,3,3,1,3,2,2,2,5,5,5,4,2,1,3,2,2,5,3,5,3,5
PY295,3,3,2,4,4,3,2,5,3,3,5,3,4,3,3,3,3,3,3,3,2,2
PY325,5,2,3,3,3,2,2,4,4,4,3,4,3,3,2,3,3,2,4,2,3,4
PY450,1,3,4,3,5,1,2,5,1,4,3,4,3,2,3,3,5,1,1,4,3,5
PY498,3,2,3,4,3,4,3,3,1,3,3,5,3,4,2,3,3,3,5,2,5,4
PY534,1,3,2,2,3,3,2,4,5,3,3,3,3,3,3,2,3,3,1,3,4,3
PY619,3,3,2,5,4,4,3,5,3,1,3,4,2,2,4,1,1,5,4,5,3,4
PY622,2,3,2,3,3,4,4,1,3,3,1,2,2,4,2,3,2,4,2,3,4,4
PY637,2,2,4,4,3,3,2,3,1,2,2,4,5,2,2,3,2,2,2,2,3,3
PY676,2,2,1,3,3,3,3,3,1,4,5,3,3,2,2,3,4,4,5,1,3,3
PY680,2,5,5,3,3,5,2,5,2,3,3,3,1,1,3,1,3,2,3,5,2,3
PY686,3,4,4,3,3,4,2,3,2,3,4,4,2,3,2,3,3,1,3,4,3,3
PY779,4,3,2,3,3,4,4,3,3,3,3,3,4,4,3,1,2,2,4,3,5,2
PY790,2,3,2,2,4,3,2,4,4,3,2,2,3,4,2,1,3,2,5,2,1,4
PY805,3,3,2,3,1,1,3,3,1,3,2,3,2,2,1,4,3,3,2,4,4,1
PY907,3,3,4,4,3,4,5,2,4,4,1,4,5,4,4,4,2,2,5,4,4,3
PY936,3,3,4,3,3,3,1,3,2,3,2,4,2,2,2,2,3,3,2,2,3,5
PY943,5,1,1,1,1,4,5,2,4,3,2,4,5,3,4,3,2,4,2,1,4,3
ST078,1,2,3,4,2,4,5,3,3,1,1,1,3,1,1,2,1,2,3,2,3,3
ST091,3,1,2,3,1,5,4,4,4,1,3,3,3,2,4,2,2,2,2,2,5,3
ST132,4,2,3,3,2,3,2,2,2,3,3,3,4,3,5,3,2,4,3,3,3,3
ST162,3,2,4,3,1,3,3,4,2,4,5,3,3,3,3,4,4,4,4,4,2,3
ST239,1,3,3,3,5,3,5,5,2,3,3,4,3,3,4,2,2,5,3,1,5,3
ST254,4,3,3,4,3,3,3,1,3,4,4,2,2,4,3,1,3,4,3,3,2,2
ST264,3,5,3,4,4,3,3,4,5,3,1,4,2,4,3,3,5,1,3,4,3,3
ST322,2,3,4,3,2,2,3,3,1,3,5,2,3,4,4,4,5,2,3,4,4,2
ST386,3,4,1,3,3,3,1,2,1,3,3,1,5,1,1,4,3,2,3,5,4,3
ST435,3,3,3,4,2,4,4,1,3,3,1,1,3,3,3,3,3,3,5,5,3,3
ST454,2,2,3,5,3,3,2,3,3,1,4,3,4,1,3,2,2,1,2,4,3,5
ST485,3,4,1,2,3,4,3,3,1,3,3,3,2,3,4,3,2,2,3,3,3,1
ST807,1,5,3,2,2,3,2,3,4,3,3,4,3,5,3,3,3,2,3,4,3,2
ST811,3,5,3,3,3,2,4,3,2,5,3,3,4,5,2,3,2,3,4,4,4,3
ST814,3,3,1,1,3,3,5,2,2,3,3,3,3,3,1,3,4,4,1,5,2,5
ST833,2,2,4,2,5,2,3,5,2,3,1,3,5,3,4,1,5,3,3,3,3,2
ST836,5,2,5,5,3,2,3,4,2,4,2,1,5,4,4,5,5,5,5,2,2,3
ST856,3,4,5,2,4,5,3,2,3,2,2,4,5,3,4,3,4,1,2,2,4,2
ST882,3,3,3,2,3,3,2,5,3,2,3,4,5,4,1,5,4,2,3,1,4,3
ST889,3,3,2,4,3,4,3,4,2,5,1,4,3,3,4,3,5,4,4,4,4,3
